week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep
"LDZ, BE",8.11,6.49,7.47,6.61,6.5,6.15,6.27,6.16,7.23,8.64,8.57,8.49,8.71,10.11,11.8
"LDZ, GB",54.18,47.53,48.33,44.71,46.34,44.41,43.39,43.59,46.79,52.86,53.13,56.34,53.94,56.53,69.05
"LDZ, NL",12.38,9.75,11.79,10.93,10.63,11.2,10.08,9.83,11.7,13.33,13.24,13.19,13.39,14.7,16.43
"LDZ, FR",15.94,13.5,15.02,13.59,12.15,13.94,12.64,11.14,12.11,17.4,17.27,18.76,19.2,21.24,23.88
"LDZ, IT",30.81,28.99,29.04,29.08,28.77,29.62,28.52,24.48,24.44,28.8,30.31,30.51,31.76,32.67,33.53
"LDZ, DE",20.61,13.91,16.94,16.78,15.65,20.14,15.33,14.72,15.29,21.14,21.51,19.51,23.7,26.46,31.83
"LDZ, AT",11.89,12.77,13.5,12.78,12.35,11.75,10.97,10.59,12.4,13.07,13.66,13.16,13.5,14.51,15.68
"LDZ, ES",3.97,3.45,3.35,3.47,3.42,3.33,3.22,2.88,2.95,3.0,3.04,3.27,3.54,3.74,3.92
LDZ Total,157.89,136.39,145.44,137.95,135.81,140.54,130.42,123.39,132.91,158.24,160.73,163.23,167.74,179.96,206.12
"Ind, BE",9.65,8.92,9.38,9.38,8.44,8.3,7.89,8.18,9.52,9.71,9.44,10.21,10.71,10.33,10.02
"Ind, GB",2.09,2.99,2.41,2.3,2.44,2.22,2.39,1.78,2.35,2.05,2.27,2.5,2.67,2.24,2.35
"Ind, NL",18.52,17.81,18.9,18.86,18.47,18.02,17.55,17.47,18.62,19.62,20.43,20.17,19.9,19.97,21.2
"Ind, AT",7.88,8.89,9.38,8.81,8.42,7.86,6.99,7.21,8.5,9.14,9.49,10.33,10.47,10.78,10.23
"Ind, FR",19.28,18.02,19.01,19.25,18.79,19.81,18.35,17.11,16.66,18.04,19.76,20.23,21.25,23.2,24.34
"Ind, IT",29.93,28.85,28.81,29.1,28.28,28.56,26.51,21.36,16.07,19.35,26.76,31.24,32.13,32.26,31.64
"Ind, ES",39.28,38.42,37.07,38.63,38.82,37.98,36.24,33.81,33.25,34.65,37.18,39.35,40.47,41.41,41.44
"Ind, DE",98.04,93.21,91.63,87.51,88.22,87.53,85.89,86.39,93.76,93.29,100.18,99.76,102.47,99.19,105.3
Industrial Total,224.67,217.11,216.59,213.84,211.88,210.28,201.81,193.31,198.73,205.85,225.51,233.79,240.07,239.38,246.52
"GFP, AT",0.36,1.01,1.34,0.31,0.58,0.23,0.31,0.58,0.6,0.52,0.51,1.24,1.55,1.59,1.82
"GFP, BE",9.27,11.7,8.94,7.96,9.36,6.23,7.87,6.86,9.85,9.68,8.89,8.99,8.31,8.4,9.94
"GFP, ES",29.01,35.18,25.86,35.79,40.21,36.2,38.3,39.27,30.61,23.18,22.18,22.34,23.13,24.36,27.55
"GFP, FR",3.76,12.54,6.45,7.12,8.45,3.97,6.28,7.06,5.92,2.71,2.39,2.11,2.1,2.32,2.71
"GFP, IT",56.75,81.7,72.36,73.54,76.93,61.46,74.6,83.07,64.93,59.4,52.42,55.8,59.12,60.59,66.67
"GFP, NL",18.39,18.89,13.97,15.85,15.17,8.81,15.23,15.14,14.08,12.4,10.67,10.86,11.08,12.18,14.46
"GFP, UK",32.65,41.83,28.13,31.95,28.09,23.48,29.11,25.27,29.34,34.66,32.84,33.07,29.77,28.04,39.61
GFP Total,150.19,202.85,157.05,172.52,178.79,140.38,171.7,177.25,155.33,142.55,129.9,134.41,135.06,137.48,162.76
NO pipeline flow,273.23,309.26,309.26,296.2,302.22,298.5,306.94,298.9,280.9,290.97,294.5,213.35,203.35,207.76,212.35
North Africa flow,87.96,84.78,83.99,82.98,80.66,80.94,80.66,78.06,81.64,82.22,82.63,70.86,69.46,70.21,71.06
Other flow,-6.4,-7.01,-7.72,-7.4,-3.18,-6.02,-2.32,-10.92,-6.98,-7.57,-7.42,-2.04,-0.92,-0.61,-0.27
Regas/LNG,263.91,255.11,216.5,230.26,208.3,179.43,207.96,210.05,225.74,223.38,226.04,253.43,259.81,261.93,263.99
Local production,112.22,110.47,113.2,109.94,114.56,123.73,119.7,97.87,93.93,94.68,95.6,93.9,94.64,95.96,97.37
"Injection, AT",25.74,23.4,19.18,23.58,17.26,14.41,19.67,7.87,,,,,,,
"Injection, BE",-0.44,0.74,1.75,2.25,2.63,2.52,3.44,4.97,,,,,,,
"Injection, DE",62.26,79.6,49.54,44.3,36.1,24.85,31.33,42.81,,,,,,,
"Injection, ES",0.95,0.2,-1.72,-2.8,-3.1,-0.11,0.58,0.46,,,,,,,
"Injection, FR",38.42,20.81,17.4,19.5,23.93,26.57,44.56,44.18,,,,,,,
"Injection, GB",-6.99,6.79,16.72,2.04,14.6,23.06,16.83,-2.68,,,,,,,
"Injection, IT",53.89,40.39,50.05,51.8,46.75,46.99,45.62,28.26,,,,,,,
"Injection, NL",32.69,30.62,44.41,51.35,45.22,47.56,43.4,35.54,,,,,,,
Inject Total,206.52,202.55,197.33,192.02,183.39,185.85,205.43,161.41,,,,,,,
