week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug
"LDZ, BE",17.66,11.97,7.49,9.13,10.31,8.11,6.49,7.49,7.26,7.11,7.8,7.83,7.21,7.29,7.64
"LDZ, GB",103.82,70.31,48.63,59.41,66.12,54.22,47.56,48.34,46.41,47.67,50.14,50.77,48.54,49.36,50.42
"LDZ, NL",28.41,16.67,11.16,13.32,14.95,12.38,9.75,11.79,11.73,11.36,12.34,12.34,11.49,11.51,12.14
"LDZ, FR",34.03,23.83,15.64,18.54,19.11,15.94,13.58,14.91,11.69,12.34,16.33,16.47,13.61,14.07,15.7
"LDZ, IT",44.87,37.81,31.85,30.32,32.32,30.8,29.11,29.08,26.46,26.06,27.61,28.63,27.71,26.07,26.82
"LDZ, DE",71.82,37.47,19.48,25.86,30.93,20.61,13.91,16.97,17.33,14.81,17.7,18.2,15.33,14.2,17.7
"LDZ, AT",20.49,15.98,12.78,12.74,13.36,12.08,12.68,13.42,12.66,12.57,12.99,13.2,12.69,12.14,12.56
"LDZ, ES",8.17,5.57,4.34,4.55,4.39,4.23,3.98,3.72,4.05,4.0,3.92,3.76,3.61,3.56,3.61
LDZ Total,329.27,219.61,151.37,173.87,191.49,158.37,137.06,145.72,137.59,135.92,148.83,151.2,140.19,138.2,146.59
"Ind, BE",9.93,9.88,9.34,9.6,9.36,9.65,8.92,9.38,9.37,9.45,9.53,9.08,9.4,9.75,9.85
"Ind, GB",2.53,2.32,2.41,2.28,2.09,2.09,2.99,2.35,1.99,2.28,2.03,2.18,2.23,2.39,2.09
"Ind, NL",23.52,21.74,19.0,19.84,19.64,18.52,17.81,18.9,19.52,19.1,19.41,19.5,19.29,18.96,19.46
"Ind, AT",10.29,9.64,8.74,7.9,7.85,7.6,8.64,9.04,9.75,9.88,9.59,8.52,8.26,8.47,8.69
"Ind, FR",22.26,20.86,18.88,19.08,19.59,19.28,18.02,19.0,20.23,19.72,19.39,17.79,16.8,16.59,17.39
"Ind, IT",31.87,31.26,29.73,28.18,30.52,29.88,28.79,28.82,31.02,31.08,31.23,29.33,23.21,16.54,17.75
"Ind, ES",41.83,40.21,39.11,39.01,38.62,39.02,37.89,36.7,40.05,40.12,38.79,37.3,35.47,33.32,33.65
"Ind, DE",114.13,104.48,93.89,92.47,98.38,99.03,91.9,91.12,99.44,97.4,96.45,92.54,93.47,93.41,91.44
Industrial Total,256.36,240.39,221.1,218.36,226.05,225.07,214.96,215.31,231.37,229.03,226.42,216.24,208.13,199.43,200.32
"GFP, AT",0.99,0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.46,0.54,0.53,0.52,0.42,0.43,0.52
"GFP, BE",4.97,6.29,6.91,5.35,4.64,9.27,11.7,8.93,5.42,6.61,7.31,7.93,8.17,8.17,9.62
"GFP, ES",19.86,19.87,23.57,20.23,16.9,29.01,35.18,25.86,30.22,27.28,25.87,25.97,24.37,24.26,27.96
"GFP, FR",0.26,0.19,1.21,0.54,0.11,3.76,12.53,6.45,3.15,3.07,2.54,2.36,2.74,2.92,2.77
"GFP, IT",35.66,34.58,41.68,33.49,34.84,56.29,80.67,72.01,70.93,72.35,68.4,64.08,59.53,60.83,69.69
"GFP, NL",11.65,15.18,15.48,11.17,9.03,18.39,18.89,13.97,7.86,6.28,9.38,10.1,9.82,10.26,13.02
"GFP, UK",23.01,24.36,26.93,21.97,21.42,32.65,41.83,28.13,22.08,31.9,36.21,35.75,30.86,29.14,35.91
GFP Total,96.4,101.08,116.17,92.93,87.19,149.73,201.81,156.69,140.12,148.03,150.24,146.71,135.91,136.01,159.49
NO pipeline flow,264.34,230.31,264.96,274.18,274.92,272.59,309.26,302.36,293.14,293.92,295.27,292.45,283.09,285.98,289.32
East pipeline flow,-31.04,-34.47,-37.55,-35.69,-36.23,-36.65,-34.75,-35.23,-48.04,-48.61,-49.09,-49.46,-49.7,-49.92,-50.05
South pipeline flow,90.48,93.3,93.93,80.78,81.39,78.97,73.56,73.17,70.43,69.59,68.93,68.26,67.49,67.38,67.46
Regas/LNG,310.06,284.48,286.61,250.98,269.89,268.63,255.12,216.5,213.79,228.65,239.09,236.91,217.99,222.53,226.19
Local production,108.25,110.44,108.71,109.29,113.22,113.37,110.23,111.55,101.86,101.61,101.59,98.58,90.95,91.58,92.39
"Injection, AT",11.81,16.62,29.64,21.06,24.73,25.74,23.4,17.16,,,,,,,
"Injection, BE",-1.27,-1.55,1.08,0.11,0.4,-0.44,0.74,0.16,,,,,,,
"Injection, DE",15.97,46.28,85.8,73.25,64.01,62.23,79.57,60.47,,,,,,,
"Injection, ES",5.56,8.69,7.28,8.3,6.57,0.95,0.2,0.0,,,,,,,
"Injection, FR",21.59,24.49,43.39,25.59,31.03,38.42,20.81,13.74,,,,,,,
"Injection, GB",-13.87,-10.14,2.31,1.63,-7.27,-6.99,6.79,-3.58,,,,,,,
"Injection, IT",46.95,51.09,54.57,57.09,60.74,53.75,40.25,34.93,,,,,,,
"Injection, NL",16.33,25.98,33.98,49.91,57.29,32.69,30.62,33.52,,,,,,,
Inject Total,103.07,161.46,258.05,236.94,237.5,206.35,202.38,156.4,,,,,,,
