week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug
"LDZ, BE",17.66,11.97,7.49,9.14,10.31,8.11,6.49,7.49,7.31,7.0,7.47,7.73,7.79,7.59,7.7
"LDZ, GB",103.82,70.31,48.63,59.41,66.12,54.22,47.56,48.36,45.79,48.0,50.47,50.7,50.71,49.17,51.03
"LDZ, NL",28.41,16.67,11.16,13.32,14.95,12.38,9.75,11.79,11.96,10.93,11.81,12.26,12.3,12.03,12.29
"LDZ, FR",34.03,23.83,15.64,18.54,19.11,15.94,13.58,15.04,13.41,12.7,14.61,15.47,15.73,15.69,15.13
"LDZ, IT",44.87,37.81,31.85,30.32,32.32,30.8,29.11,29.08,28.85,26.11,25.56,26.61,28.06,28.24,28.46
"LDZ, DE",71.82,37.47,19.48,26.4,30.93,20.61,13.91,16.97,17.48,13.23,15.01,16.91,17.5,17.04,17.53
"LDZ, AT",20.49,15.98,12.78,12.74,13.36,12.08,12.68,13.42,13.14,12.39,12.16,12.71,12.87,12.81,12.74
"LDZ, ES",8.17,5.57,4.34,4.55,4.39,4.23,3.98,3.72,3.96,3.95,3.89,3.75,3.59,3.54,3.53
LDZ Total,329.27,219.61,151.37,174.42,191.49,158.37,137.06,145.87,141.9,134.31,140.98,146.14,148.55,146.11,148.41
"Ind, BE",9.93,9.88,9.34,9.6,9.36,9.65,8.92,9.39,9.35,9.45,9.53,9.08,9.41,9.75,9.78
"Ind, GB",2.53,2.32,2.41,2.28,2.09,2.09,2.99,2.41,1.97,2.27,2.02,2.17,2.23,2.38,2.06
"Ind, NL",23.52,21.74,19.0,19.84,19.64,18.52,17.81,18.9,19.41,19.09,19.4,19.49,19.28,18.94,19.75
"Ind, AT",10.29,9.64,8.74,7.9,7.85,7.6,8.64,9.06,9.66,9.87,9.58,8.51,8.25,8.46,9.26
"Ind, FR",22.26,20.86,18.88,19.08,19.59,19.28,18.02,19.0,19.84,19.69,19.36,17.76,16.77,16.56,18.04
"Ind, IT",31.87,31.26,29.73,28.18,30.52,29.88,28.79,28.82,31.52,31.08,31.23,29.33,23.21,16.53,19.64
"Ind, ES",41.83,40.21,39.11,39.01,38.62,39.02,37.89,36.7,40.7,40.1,38.77,37.29,35.45,33.3,34.73
"Ind, DE",114.13,104.48,93.89,92.19,98.01,98.83,91.81,91.29,100.62,97.28,96.32,92.42,93.35,93.29,93.86
Industrial Total,256.36,240.39,221.1,218.08,225.68,224.87,214.87,215.57,233.07,228.83,226.21,216.05,207.95,199.21,207.12
"GFP, AT",0.99,0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.4,0.57,0.56,0.54,0.44,0.43,0.45
"GFP, BE",4.97,6.29,6.91,5.35,4.64,9.27,11.7,8.94,8.23,8.23,8.08,8.81,8.8,8.38,8.5
"GFP, ES",19.86,19.87,23.57,20.23,16.9,29.01,35.18,25.86,33.42,27.06,27.28,27.53,24.56,22.15,26.55
"GFP, FR",0.26,0.19,1.21,0.54,0.11,3.76,12.54,6.45,5.69,3.2,2.82,2.57,2.45,2.3,2.31
"GFP, IT",35.66,34.58,41.68,33.49,34.84,56.29,80.67,72.01,76.17,72.43,73.61,71.47,60.97,55.6,57.58
"GFP, NL",11.65,15.18,15.48,11.17,9.03,18.39,18.89,13.97,13.14,6.02,9.14,10.8,10.55,10.36,10.73
"GFP, UK",23.01,24.36,26.93,21.97,21.42,32.65,41.83,28.13,32.68,33.22,37.51,38.9,35.37,32.87,35.01
GFP Total,96.4,101.08,116.17,92.93,87.19,149.73,201.82,156.7,169.73,150.73,159.0,160.62,143.14,132.09,141.13
NO pipeline flow,260.93,230.31,264.96,274.18,274.92,272.59,309.26,309.26,296.0,294.72,295.98,293.0,283.38,286.19,289.45
East pipeline flow,-33.16,-34.47,-37.55,-35.69,-36.23,-36.65,-34.75,-35.23,-42.79,-48.18,-48.7,-49.16,-49.55,-49.8,-49.97
South pipeline flow,88.79,93.3,93.93,80.78,81.39,78.97,73.56,73.17,71.89,69.71,69.03,68.34,67.53,67.41,67.48
Regas/LNG,299.19,284.48,286.61,250.98,269.89,268.63,255.12,216.5,226.41,230.76,240.4,237.83,218.9,223.22,226.74
Local production,111.17,110.44,108.71,109.29,113.22,113.37,110.23,113.01,107.42,102.19,102.1,98.97,91.16,91.71,92.47
"Injection, AT",11.81,16.62,29.64,21.06,24.73,25.74,23.4,15.85,,,,,,,
"Injection, BE",-1.27,-1.55,1.08,0.11,0.4,-0.44,0.74,1.37,,,,,,,
"Injection, DE",15.97,46.28,85.8,73.28,64.05,62.32,79.76,45.35,,,,,,,
"Injection, ES",5.56,8.69,7.28,8.3,6.57,0.95,0.2,-1.54,,,,,,,
"Injection, FR",21.59,24.49,43.39,25.59,31.03,38.42,20.81,13.4,,,,,,,
"Injection, GB",-13.87,-10.14,2.31,1.63,-7.27,-6.99,6.79,9.53,,,,,,,
"Injection, IT",46.95,51.09,54.57,57.09,60.74,53.75,40.25,41.87,,,,,,,
"Injection, NL",16.33,25.98,33.98,49.91,57.29,32.69,30.62,40.61,,,,,,,
Inject Total,103.07,161.46,258.05,236.97,237.54,206.44,202.57,166.44,,,,,,,
