week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul
"LDZ, BE",24.05,16.31,16.34,16.21,11.43,13.52,17.67,12.0,7.66,9.19,7.81,7.7,8.71,7.89,7.71
"LDZ, GB",124.2,107.41,105.86,97.49,77.96,88.11,103.82,70.31,49.56,63.07,52.69,50.8,54.74,52.37,51.87
"LDZ, NL",35.99,26.46,23.99,25.06,18.08,19.76,28.41,16.67,11.86,13.9,12.86,12.49,13.96,12.7,12.47
"LDZ, FR",62.54,36.72,39.98,33.08,22.77,26.6,34.0,23.79,16.44,19.33,16.5,16.27,17.97,17.13,15.53
"LDZ, IT",84.7,49.44,47.53,45.29,37.79,39.0,44.87,37.81,33.5,31.46,29.06,29.84,30.11,29.17,26.94
"LDZ, DE",107.94,80.59,65.97,74.79,49.89,45.98,71.81,37.46,18.99,19.57,18.23,18.14,21.31,18.74,17.73
"LDZ, AT",31.35,24.52,24.72,22.7,19.11,16.94,20.27,15.82,13.21,13.43,12.83,12.94,13.26,13.1,12.66
"LDZ, ES",12.0,8.3,8.77,6.05,5.5,6.29,6.53,5.9,5.6,5.98,5.91,5.74,5.45,5.19,5.0
LDZ Total,482.77,349.75,333.16,320.67,242.53,256.2,327.38,219.76,156.82,175.93,155.89,153.92,165.51,156.29,149.91
"Ind, BE",10.7,10.69,10.38,10.98,10.53,10.23,9.84,9.9,9.62,9.81,9.86,10.02,9.97,9.77,9.42
"Ind, GB",2.75,2.09,2.7,2.48,2.36,2.5,2.53,2.32,2.38,1.95,1.9,2.49,2.48,2.12,1.96
"Ind, NL",22.33,20.81,21.11,22.58,21.7,22.16,23.52,21.74,19.98,20.81,20.62,20.2,19.71,19.46,19.6
"Ind, AT",15.38,14.38,14.37,13.15,11.33,9.65,9.99,9.37,9.1,10.38,9.95,9.62,9.69,9.81,9.78
"Ind, FR",24.11,23.48,23.84,23.31,21.49,21.96,22.26,20.86,19.62,20.45,20.85,20.36,20.39,20.56,20.31
"Ind, IT",29.89,30.13,32.38,31.54,29.75,30.86,31.87,31.26,31.41,30.76,31.4,30.7,30.4,30.04,31.16
"Ind, ES",32.67,38.04,40.21,39.8,39.52,42.97,43.47,39.89,39.56,40.63,40.49,40.44,40.21,40.0,40.33
"Ind, DE",123.9,117.27,126.62,118.99,102.65,108.5,112.79,103.94,97.56,104.17,100.66,99.11,96.85,97.57,98.86
Industrial Total,261.73,256.89,271.61,262.83,239.33,248.83,256.27,239.28,229.23,238.96,235.73,232.94,229.7,229.33,231.42
"GFP, AT",4.23,3.75,3.95,2.7,1.63,0.65,0.98,0.61,0.39,0.48,0.53,0.54,0.54,0.5,0.49
"GFP, BE",6.13,4.17,9.09,4.26,4.35,9.78,4.97,6.29,6.68,5.13,6.95,6.84,7.6,7.65,6.93
"GFP, ES",18.71,19.95,22.23,18.03,20.1,21.1,19.86,19.87,23.91,17.05,18.66,22.04,20.59,22.34,27.57
"GFP, FR",4.73,0.49,3.95,0.33,0.28,1.62,0.26,0.19,1.33,2.06,2.4,2.51,2.3,2.29,2.26
"GFP, IT",44.78,39.4,45.19,35.38,33.85,47.88,35.66,34.58,42.32,50.79,57.56,58.11,56.56,59.01,66.6
"GFP, NL",13.19,9.78,18.34,11.18,9.72,20.26,11.65,15.18,15.22,6.9,3.53,1.33,1.05,1.69,3.16
"GFP, UK",22.12,19.57,27.64,20.25,18.02,34.31,23.01,24.36,24.88,26.85,30.7,32.12,32.48,34.07,34.16
GFP Total,113.89,97.11,130.39,92.13,87.95,135.6,96.39,101.08,114.73,109.26,120.33,123.49,121.12,127.55,141.17
NO pipeline flow,307.54,298.21,286.55,262.35,264.0,257.97,264.34,230.31,262.95,259.69,257.14,255.11,253.64,280.44,291.22
East pipeline flow,-32.0,-28.15,-29.0,-29.19,-31.92,-33.52,-31.04,-34.47,-42.5,-51.02,-51.94,-52.79,-53.58,-50.93,-50.22
South pipeline flow,91.75,89.96,90.97,92.37,91.83,94.43,90.48,93.3,89.57,81.91,80.42,79.03,77.75,72.77,70.25
Regas/LNG,339.67,344.58,346.72,347.18,349.24,324.87,310.06,284.48,286.9,249.35,284.87,284.11,283.51,273.05,268.76
Local production,117.22,116.9,115.3,112.79,118.53,110.44,107.5,110.3,107.49,97.41,96.19,95.16,94.34,98.16,99.55
"Injection, AT",-3.38,15.58,6.51,16.62,29.63,25.82,11.81,16.62,,,,,,,
"Injection, BE",-0.42,-0.85,-0.44,0.21,0.82,-1.16,-1.27,-1.55,,,,,,,
"Injection, DE",-0.46,27.13,13.83,26.81,72.44,35.1,15.97,46.28,,,,,,,
"Injection, ES",11.25,12.32,7.75,0.0,7.43,4.91,5.56,8.69,,,,,,,
"Injection, FR",8.65,48.89,33.8,40.84,55.85,33.71,21.59,24.49,,,,,,,
"Injection, GB",-4.83,0.54,-15.34,-14.47,2.04,-27.68,-13.87,-10.14,,,,,,,
"Injection, IT",-3.34,32.72,44.87,58.61,64.34,53.04,46.95,51.09,,,,,,,
"Injection, NL",0.12,20.42,26.4,28.41,28.52,15.97,16.33,25.98,,,,,,,
Inject Total,7.59,156.75,117.38,157.03,261.07,139.71,103.07,161.46,,,,,,,
