week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep,28-Sep,05-Oct
"LDZ, BE",7.47,6.61,6.5,6.15,6.27,6.16,6.65,8.36,9.1,10.29,10.73,11.96,13.51,11.1,16.08
"LDZ, GB",48.33,44.71,46.34,44.41,43.39,43.58,42.4,49.36,51.73,56.96,61.87,64.96,63.27,59.67,83.2
"LDZ, NL",11.79,10.93,10.63,11.2,10.08,9.83,10.78,13.52,13.63,14.77,15.16,15.59,15.63,15.54,19.85
"LDZ, FR",14.99,13.59,12.17,13.96,12.66,11.13,10.31,13.41,17.73,19.77,20.73,24.24,29.06,25.79,29.2
"LDZ, IT",29.04,29.08,28.77,29.62,28.52,24.5,19.59,23.04,28.1,30.21,31.2,33.19,34.89,34.84,36.78
"LDZ, DE",16.94,16.78,15.65,20.11,15.33,14.72,14.98,20.98,22.04,27.6,28.07,32.33,38.39,30.2,57.0
"LDZ, AT",13.5,12.78,12.35,11.75,10.97,10.59,11.6,13.5,12.97,14.46,14.19,16.2,18.89,16.34,22.05
"LDZ, ES",3.22,3.41,3.33,3.39,3.07,2.75,2.36,2.58,2.57,2.64,2.81,2.96,3.08,3.3,3.59
LDZ Total,145.28,137.89,135.74,140.59,130.29,123.26,118.67,144.75,157.87,176.7,184.76,201.43,216.72,196.78,267.75
"Ind, BE",9.38,9.38,8.44,8.3,7.89,8.18,8.67,8.94,9.39,10.16,10.66,10.28,10.07,10.36,10.56
"Ind, GB",2.41,2.3,2.44,2.22,2.39,1.78,2.39,2.8,2.25,2.49,2.66,2.23,2.33,2.36,2.06
"Ind, NL",18.9,18.86,18.47,18.02,17.55,17.47,17.45,19.41,20.4,20.15,19.88,19.94,21.41,21.48,21.0
"Ind, AT",9.38,8.81,8.42,7.86,6.99,7.21,7.78,9.25,9.47,10.32,10.45,10.76,10.63,12.83,13.5
"Ind, FR",19.01,19.26,18.79,19.81,18.35,17.11,16.64,18.05,19.73,20.2,21.22,23.17,24.44,24.83,24.86
"Ind, IT",28.81,29.1,28.28,28.56,26.51,21.36,15.24,18.69,26.71,31.18,32.08,32.21,31.97,32.25,31.38
"Ind, ES",37.2,38.69,38.9,37.92,36.39,33.94,30.94,32.44,37.1,39.27,40.39,41.33,41.34,41.15,39.79
"Ind, DE",92.09,88.22,87.39,86.35,86.21,86.4,90.79,98.05,100.16,99.74,102.45,99.17,106.6,111.83,117.14
Industrial Total,217.18,214.62,211.13,209.04,202.28,193.45,189.9,207.63,225.21,233.51,239.79,239.09,248.79,257.09,260.29
"GFP, AT",1.86,1.06,3.26,0.42,2.45,1.15,2.34,3.15,0.01,0.0,0.0,0.02,0.0,0.02,0.52
"GFP, BE",12.6,11.22,13.43,9.51,11.97,12.51,14.98,15.91,7.73,8.51,8.83,9.44,10.26,10.71,12.04
"GFP, ES",26.54,33.56,35.49,29.06,33.77,35.67,38.31,29.81,21.96,26.33,29.75,32.73,32.94,29.87,26.87
"GFP, FR",7.97,4.65,8.44,3.66,5.4,6.74,8.98,10.22,2.07,2.28,2.75,2.57,3.0,4.56,4.49
"GFP, IT",64.58,66.74,78.26,63.44,72.2,64.87,53.11,47.3,41.37,47.28,45.85,44.07,41.86,44.64,61.74
"GFP, NL",17.81,18.2,19.75,13.19,18.77,19.28,22.03,23.71,10.98,11.47,12.65,13.81,14.69,15.69,17.56
"GFP, UK",31.13,37.68,35.74,27.18,32.83,25.03,41.55,34.45,12.78,13.17,21.08,21.3,20.45,23.22,26.79
GFP Total,162.49,173.11,194.37,146.46,177.39,165.25,181.3,164.55,96.9,109.04,120.91,123.94,123.2,128.71,150.01
NO pipeline flow,309.26,296.2,302.22,298.5,306.94,298.9,295.61,286.59,295.11,213.68,203.57,207.9,212.41,252.16,282.73
North Africa flow,83.99,82.98,80.66,80.94,80.66,78.06,78.96,78.4,82.14,70.71,69.36,70.11,70.95,78.57,84.92
Other flow,-7.72,-7.4,-3.18,-6.02,-2.32,-10.92,-8.99,-9.0,-7.67,-2.13,-0.98,-0.66,-0.32,2.28,4.54
Regas/LNG,216.5,230.26,208.3,179.43,207.96,210.05,240.24,239.14,239.36,264.65,268.24,268.24,268.8,280.9,293.74
Local production,113.21,109.89,114.58,123.74,119.7,97.87,108.03,106.33,96.96,94.64,95.28,96.58,97.98,102.14,105.52
"Injection, AT",19.18,23.58,17.26,14.41,19.67,11.43,23.92,17.78,,,,,,,
"Injection, BE",1.75,2.25,2.63,2.52,3.44,4.75,4.4,4.18,,,,,,,
"Injection, DE",49.54,44.3,36.1,24.85,31.33,44.93,47.18,19.13,,,,,,,
"Injection, ES",-1.72,-2.8,-3.1,-0.11,0.58,1.44,3.06,3.34,,,,,,,
"Injection, FR",17.4,19.5,23.93,26.57,44.56,46.27,51.6,40.2,,,,,,,
"Injection, GB",16.72,2.04,14.6,23.06,16.83,0.45,-0.69,-14.95,,,,,,,
"Injection, IT",50.05,51.8,46.75,46.99,45.62,36.45,53.42,47.77,,,,,,,
"Injection, NL",44.41,51.35,45.22,47.56,43.4,39.06,36.24,43.68,,,,,,,
Inject Total,197.33,192.02,183.39,185.85,205.43,184.78,219.13,161.13,,,,,,,
