week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug
"LDZ, BE",17.66,11.97,7.49,9.13,10.31,8.11,6.49,7.76,7.14,7.07,7.69,7.69,7.6,7.77,7.88
"LDZ, GB",103.82,70.31,48.63,59.41,66.12,54.22,47.56,49.22,46.4,46.86,50.31,50.79,50.49,50.37,50.52
"LDZ, NL",28.41,16.67,11.16,13.32,14.95,12.38,9.75,12.18,11.64,11.2,12.19,12.24,12.07,12.4,12.6
"LDZ, FR",34.03,23.83,15.64,18.54,19.11,15.94,13.58,15.53,11.59,13.1,15.31,15.04,14.79,16.36,15.95
"LDZ, IT",44.87,37.81,31.85,30.32,32.32,30.8,29.11,29.82,26.29,26.21,27.26,28.09,26.64,27.56,26.98
"LDZ, DE",71.82,37.47,19.48,25.86,30.93,20.61,13.91,16.99,17.26,13.77,17.3,17.53,16.49,18.47,18.25
"LDZ, AT",20.49,15.98,12.78,12.74,13.36,12.08,12.68,13.63,12.76,12.16,12.81,12.83,12.57,12.8,12.58
"LDZ, ES",8.17,5.57,4.34,4.55,4.39,4.23,3.98,3.81,4.05,4.01,3.93,3.77,3.62,3.57,3.6
LDZ Total,329.27,219.61,151.37,173.87,191.49,158.37,137.06,148.94,137.13,134.38,146.8,147.98,144.27,149.3,148.36
"Ind, BE",9.93,9.88,9.34,9.6,9.36,9.66,8.92,9.42,9.36,9.45,9.53,9.08,9.4,9.75,9.88
"Ind, GB",2.53,2.32,2.41,2.28,2.09,2.09,2.99,2.41,1.99,2.28,2.03,2.18,2.24,2.39,2.04
"Ind, NL",23.52,21.74,19.0,19.84,19.64,18.52,17.81,19.01,19.52,19.1,19.41,19.5,19.29,18.96,19.55
"Ind, AT",10.29,9.64,8.74,7.9,7.85,7.6,8.64,9.32,9.74,9.88,9.59,8.52,8.26,8.47,8.58
"Ind, FR",22.26,20.86,18.88,19.08,19.59,19.28,18.02,19.3,20.24,19.73,19.4,17.79,16.81,16.6,17.19
"Ind, IT",31.87,31.26,29.73,28.18,30.52,29.88,28.79,29.73,31.02,31.08,31.23,29.33,23.22,16.54,17.28
"Ind, ES",41.83,40.21,39.11,39.01,38.62,39.02,37.89,37.88,40.06,40.13,38.8,37.32,35.48,33.33,33.45
"Ind, DE",114.13,104.48,93.89,92.47,98.38,99.03,91.9,94.03,99.45,97.41,96.46,92.56,93.49,93.42,90.82
Industrial Total,256.36,240.39,221.1,218.36,226.05,225.08,214.96,221.1,231.38,229.06,226.45,216.28,208.19,199.46,198.79
"GFP, AT",0.99,0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.45,0.55,0.53,0.52,0.42,0.41,0.53
"GFP, BE",4.97,6.29,6.91,5.35,4.64,9.27,11.7,8.93,6.49,7.5,7.64,8.3,8.27,8.25,9.28
"GFP, ES",19.86,19.87,23.57,20.23,16.9,29.01,35.18,25.35,30.03,26.91,26.1,26.97,25.27,22.97,27.46
"GFP, FR",0.26,0.19,1.21,0.54,0.11,3.76,12.53,6.51,3.35,3.08,2.49,2.57,2.68,2.37,2.57
"GFP, IT",35.66,34.58,41.68,33.49,34.84,56.29,80.67,70.95,70.27,72.35,69.26,65.85,62.9,57.57,67.06
"GFP, NL",11.65,15.18,15.48,11.17,9.03,18.39,18.89,13.97,7.27,7.44,9.62,10.37,9.91,10.66,11.57
"GFP, UK",23.01,24.36,26.93,21.97,21.42,32.65,41.83,28.13,24.84,33.97,36.82,36.2,32.13,30.61,34.66
GFP Total,96.4,101.08,116.17,92.93,87.19,149.73,201.81,155.18,142.7,151.8,152.46,150.78,141.58,132.84,153.13
NO pipeline flow,264.34,230.31,264.96,274.18,274.92,272.59,309.26,300.54,292.95,293.76,295.13,292.35,283.03,285.94,288.94
East pipeline flow,-31.04,-34.47,-37.55,-35.69,-36.23,-36.65,-34.75,-37.19,-48.23,-48.78,-49.25,-49.58,-49.76,-49.96,-49.68
South pipeline flow,90.48,93.3,93.93,80.78,81.39,78.97,73.56,72.26,70.34,69.51,68.85,68.2,67.46,67.36,67.68
Regas/LNG,310.06,284.48,286.61,250.98,269.89,268.63,255.12,216.55,216.45,231.23,241.02,238.31,218.91,223.19,229.77
Local production,108.25,110.44,108.71,109.29,113.22,113.37,110.23,109.83,101.73,101.49,101.49,98.49,90.9,91.52,92.22
"Injection, AT",11.81,16.62,29.64,21.06,24.73,25.74,23.4,17.55,,,,,,,
"Injection, BE",-1.27,-1.55,1.08,0.11,0.4,-0.44,0.74,-0.24,,,,,,,
"Injection, DE",15.97,46.28,85.8,73.25,64.01,62.23,79.57,68.81,,,,,,,
"Injection, ES",5.56,8.69,7.28,8.3,6.57,0.95,0.2,0.0,,,,,,,
"Injection, FR",21.59,24.49,43.39,25.59,31.03,38.42,20.81,9.13,,,,,,,
"Injection, GB",-13.87,-10.14,2.31,1.63,-7.27,-6.99,6.79,-1.95,,,,,,,
"Injection, IT",46.95,51.09,54.57,57.09,60.74,53.75,40.25,41.18,,,,,,,
"Injection, NL",16.33,25.98,33.98,49.91,57.29,32.69,30.62,27.79,,,,,,,
Inject Total,103.07,161.46,258.05,236.94,237.5,206.35,202.38,162.27,,,,,,,
