week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep
"LDZ, BE",8.11,6.49,7.47,6.61,6.5,6.15,6.27,6.16,7.02,7.94,9.59,9.53,9.69,11.29,10.53
"LDZ, GB",54.18,47.53,48.33,44.71,46.34,44.41,43.39,43.58,44.73,52.46,55.71,56.01,57.61,60.49,59.84
"LDZ, NL",12.38,9.75,11.79,10.93,10.63,11.2,10.08,9.83,11.18,12.71,13.99,14.04,14.6,15.57,15.63
"LDZ, FR",15.94,13.5,14.99,13.59,12.17,13.96,12.66,11.13,11.39,15.99,20.31,19.9,19.64,19.67,20.1
"LDZ, IT",30.81,28.99,29.04,29.08,28.77,29.62,28.52,24.5,23.34,28.16,30.27,32.06,31.94,32.56,33.84
"LDZ, DE",20.61,13.91,16.94,16.78,15.65,20.14,15.33,14.72,14.8,18.67,23.43,25.17,25.63,33.47,29.33
"LDZ, AT",11.89,12.77,13.5,12.78,12.35,11.75,10.97,10.59,12.37,12.64,13.81,14.9,13.79,16.39,15.83
"LDZ, ES",3.97,3.45,3.22,3.41,3.33,3.39,3.07,2.75,2.71,2.88,2.92,3.11,3.39,3.58,3.72
LDZ Total,157.89,136.39,145.28,137.89,135.74,140.62,130.29,123.26,127.54,151.45,170.03,174.72,176.29,193.02,188.82
"Ind, BE",9.65,8.92,9.38,9.38,8.44,8.3,7.89,8.18,9.34,9.7,9.43,10.21,10.7,10.32,10.11
"Ind, GB",2.09,2.99,2.41,2.3,2.44,2.22,2.39,1.78,2.31,2.04,2.26,2.49,2.66,2.23,2.33
"Ind, NL",18.52,17.81,18.9,18.86,18.47,18.02,17.55,17.47,18.33,19.62,20.42,20.17,19.9,19.96,21.43
"Ind, AT",7.88,8.89,9.38,8.81,8.42,7.86,6.99,7.21,8.44,9.13,9.47,10.32,10.46,10.77,10.64
"Ind, FR",19.28,18.02,19.01,19.25,18.79,19.81,18.35,17.11,16.72,18.04,19.76,20.23,21.25,23.2,24.47
"Ind, IT",29.93,28.85,28.81,29.1,28.28,28.56,26.51,21.36,15.84,19.33,26.74,31.22,32.11,32.25,32.0
"Ind, ES",39.28,38.42,37.2,38.69,38.9,37.92,36.39,33.94,32.92,34.65,37.18,39.35,40.47,41.41,41.42
"Ind, DE",98.04,93.21,91.6,87.62,88.4,86.73,85.77,86.4,94.64,93.22,100.11,99.69,102.41,99.12,106.55
Industrial Total,224.67,217.11,216.69,214.01,212.14,209.42,201.84,193.45,198.54,205.73,225.37,233.68,239.96,239.26,248.95
"GFP, AT",2.1,3.57,1.86,1.08,3.28,0.42,2.46,1.15,1.51,0.18,0.11,0.21,0.13,0.41,0.23
"GFP, BE",14.29,16.82,12.65,11.26,13.46,9.61,11.98,12.5,14.02,10.55,9.79,10.05,9.64,10.95,11.52
"GFP, ES",29.4,34.86,26.48,33.56,35.53,29.14,33.75,35.77,37.82,29.28,27.99,31.48,32.18,34.94,30.96
"GFP, FR",5.62,12.2,7.98,4.65,8.62,3.66,5.56,6.85,8.83,5.16,3.53,3.56,2.5,2.69,3.03
"GFP, IT",62.88,81.12,64.74,67.14,78.62,63.7,72.48,65.03,53.17,49.82,52.47,60.39,59.16,56.85,58.54
"GFP, NL",20.63,20.67,17.83,18.27,19.8,13.27,18.8,19.27,20.55,16.15,14.54,13.9,14.17,15.29,15.95
"GFP, UK",42.83,52.75,31.06,37.45,35.49,27.0,32.64,24.8,35.98,21.22,20.26,20.37,22.66,21.55,22.27
GFP Total,177.75,221.99,162.6,173.41,194.8,146.8,177.67,165.37,171.88,132.36,128.69,139.96,140.44,142.68,142.5
NO pipeline flow,280.07,309.26,309.26,296.2,302.22,298.5,306.94,298.9,292.09,291.82,295.3,213.68,203.57,207.94,212.48
North Africa flow,87.45,84.78,83.99,82.98,80.66,80.94,80.66,78.06,80.25,82.11,82.53,70.82,69.43,70.19,71.04
Other flow,-6.95,-7.01,-7.72,-7.4,-3.18,-6.02,-2.32,-10.92,-9.83,-7.79,-7.63,-2.12,-0.97,-0.66,-0.31
Regas/LNG,231.55,255.11,216.5,230.26,208.3,179.43,207.96,210.05,236.72,230.22,230.94,257.01,262.44,263.87,265.46
Local production,112.57,110.47,113.2,109.94,114.56,123.73,119.7,97.87,100.73,95.17,96.06,94.11,94.78,96.07,97.46
"Injection, AT",25.74,23.4,19.18,23.58,17.26,14.41,19.67,8.7,,,,,,,
"Injection, BE",-0.44,0.74,1.75,2.25,2.63,2.52,3.44,4.94,,,,,,,
"Injection, DE",62.26,79.6,49.54,44.3,36.1,24.85,31.33,39.56,,,,,,,
"Injection, ES",0.95,0.2,-1.72,-2.8,-3.1,-0.11,0.58,1.05,,,,,,,
"Injection, FR",38.42,20.81,17.4,19.5,23.93,26.57,44.56,45.02,,,,,,,
"Injection, GB",-6.99,6.79,16.72,2.04,14.6,23.06,16.83,-6.3,,,,,,,
"Injection, IT",53.89,40.39,50.05,51.8,46.75,46.99,45.62,31.41,,,,,,,
"Injection, NL",32.69,30.62,44.41,51.35,45.22,47.56,43.4,39.35,,,,,,,
Inject Total,206.52,202.55,197.33,192.02,183.39,185.85,205.43,163.73,,,,,,,
