week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep
"LDZ, BE",10.31,8.11,6.49,7.47,6.61,6.5,6.15,6.27,7.21,7.14,8.39,8.57,8.71,8.34,11.17
"LDZ, GB",66.1,54.18,47.53,48.33,44.71,46.34,44.41,43.4,48.68,49.03,53.03,54.66,53.09,54.19,67.63
"LDZ, NL",14.95,12.38,9.75,11.79,10.93,10.63,11.2,10.08,11.15,11.36,13.03,13.34,13.59,13.29,15.79
"LDZ, FR",19.1,15.94,13.5,15.02,13.6,12.16,13.96,12.65,13.55,13.03,16.17,18.29,18.71,18.27,21.13
"LDZ, IT",32.32,30.8,29.11,29.08,29.08,28.77,29.62,28.48,24.92,24.39,28.07,30.69,31.86,32.36,32.86
"LDZ, DE",30.93,20.61,13.91,16.97,16.78,15.64,20.13,15.33,14.85,13.74,19.79,21.8,24.54,21.99,31.14
"LDZ, AT",13.46,12.13,12.77,13.5,12.78,12.35,11.75,10.97,11.58,11.94,13.01,13.9,14.53,13.59,15.14
"LDZ, ES",4.35,3.97,3.45,3.35,3.47,3.42,3.33,3.22,3.31,3.34,3.34,3.39,3.68,3.98,4.19
LDZ Total,191.52,158.12,136.51,145.51,137.96,135.81,140.55,130.4,135.25,133.97,154.83,164.64,168.71,166.01,199.05
"Ind, BE",9.36,9.65,8.92,9.39,9.38,8.38,8.26,7.87,9.17,9.7,9.73,9.46,10.24,10.73,10.42
"Ind, GB",2.09,2.09,2.99,2.41,2.3,2.44,2.22,2.38,2.13,2.39,2.07,2.29,2.52,2.69,2.38
"Ind, NL",19.64,18.52,17.81,18.9,18.86,18.47,18.02,17.55,18.89,18.85,19.65,20.46,20.21,19.94,19.85
"Ind, AT",8.08,7.88,8.89,9.38,8.81,8.42,7.86,6.99,8.16,8.38,9.18,9.53,10.37,10.51,11.08
"Ind, FR",19.59,19.28,18.02,19.01,19.25,18.78,19.81,18.35,16.8,16.56,18.03,19.75,20.22,21.25,22.79
"Ind, IT",30.52,29.88,28.79,28.82,29.1,28.28,28.56,26.51,22.83,16.28,19.39,26.8,31.28,32.17,32.1
"Ind, ES",38.66,39.28,38.42,37.07,38.63,38.82,37.98,36.24,35.62,33.23,34.66,37.19,39.36,40.48,40.45
"Ind, DE",97.92,98.04,93.21,91.5,87.36,86.91,87.38,85.84,93.7,92.83,93.4,100.29,99.88,102.59,99.58
Industrial Total,225.86,224.62,217.05,216.48,213.69,210.5,210.09,201.73,207.3,198.22,206.11,225.77,234.08,240.36,238.65
"GFP, AT",0.25,0.36,1.01,1.34,0.31,0.58,0.23,0.31,0.68,0.52,0.5,0.5,1.23,1.54,1.63
"GFP, BE",4.64,9.27,11.7,8.94,7.96,9.36,6.23,7.87,5.36,7.25,8.23,8.38,8.53,8.03,8.35
"GFP, ES",16.9,29.01,35.18,25.86,35.79,40.21,36.2,38.3,35.87,28.5,27.14,24.61,24.59,25.49,27.24
"GFP, FR",0.11,3.76,12.54,6.45,7.12,8.45,3.97,6.28,4.63,3.42,2.44,2.23,2.09,2.13,2.33
"GFP, IT",34.84,56.29,80.67,72.01,73.54,76.93,61.46,74.6,80.22,68.95,61.12,52.87,55.78,58.68,62.51
"GFP, NL",9.03,18.39,18.89,13.97,15.85,15.17,8.81,15.23,13.75,10.85,10.8,11.1,10.91,11.14,12.48
"GFP, UK",21.42,32.65,41.83,28.13,31.95,28.09,23.48,29.11,17.75,27.65,30.67,34.32,33.7,30.94,32.04
GFP Total,87.19,149.73,201.82,156.7,172.52,178.79,140.38,171.7,158.26,147.14,140.9,134.01,136.83,137.95,146.58
NO pipeline flow,259.71,272.59,309.26,309.26,296.2,302.22,298.5,306.94,285.63,287.28,290.49,294.09,213.1,203.18,207.66
North Africa flow,90.01,88.28,85.17,84.53,83.67,80.71,80.85,80.72,79.75,82.37,82.66,83.07,71.2,69.78,70.53
Other flow,-9.85,-6.46,-6.99,-7.71,-7.39,-3.16,-6.02,-2.31,-6.86,-7.37,-7.3,-7.18,-1.92,-0.84,-0.55
Regas/LNG,267.7,268.63,255.12,216.5,230.26,208.3,179.43,207.96,202.69,207.31,214.41,219.83,248.4,255.94,258.92
Local production,113.52,113.29,110.47,113.2,109.94,114.56,123.73,119.7,94.6,93.58,94.37,95.34,93.78,94.59,95.95
"Injection, AT",24.73,25.74,23.4,19.18,23.58,17.26,14.41,17.51,,,,,,,
"Injection, BE",0.4,-0.44,0.74,1.75,2.25,2.63,2.52,2.82,,,,,,,
"Injection, DE",64.05,62.26,79.6,49.54,44.3,36.1,24.85,26.82,,,,,,,
"Injection, ES",6.57,0.95,0.2,-1.72,-2.8,-3.1,-0.11,0.0,,,,,,,
"Injection, FR",31.03,38.42,20.81,17.4,19.5,23.93,26.57,41.62,,,,,,,
"Injection, GB",-7.27,-6.99,6.79,16.72,2.04,14.6,23.06,16.93,,,,,,,
"Injection, IT",60.74,53.75,40.25,50.01,51.8,46.75,46.99,40.5,,,,,,,
"Injection, NL",57.29,32.69,30.62,44.41,51.35,45.22,47.56,40.54,,,,,,,
Inject Total,237.54,206.38,202.41,197.29,192.02,183.39,185.85,186.74,,,,,,,
