week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug
"LDZ, BE",11.97,7.49,9.14,10.31,8.11,6.49,7.49,6.64,7.38,7.96,7.81,7.76,7.69,8.33,9.17
"LDZ, GB",70.31,48.63,59.41,66.12,54.22,47.56,48.37,44.73,47.8,49.59,49.91,50.11,50.51,54.11,57.02
"LDZ, NL",16.67,11.16,13.32,14.95,12.38,9.75,11.79,10.93,11.61,12.47,12.47,12.34,12.23,13.03,13.63
"LDZ, FR",23.83,15.64,18.54,19.1,15.94,13.5,15.02,13.6,13.47,15.74,17.09,16.23,16.6,18.31,19.1
"LDZ, IT",37.81,31.85,30.32,32.32,30.8,29.11,29.08,29.08,26.04,27.7,27.54,27.8,27.49,29.07,29.75
"LDZ, DE",37.47,19.48,26.38,30.93,20.61,13.91,16.97,16.78,16.79,20.9,17.61,17.87,16.77,19.41,21.97
"LDZ, AT",15.98,12.78,12.74,13.36,12.08,12.68,13.42,12.78,12.48,13.63,12.87,12.97,12.46,13.07,13.38
"LDZ, ES",5.57,4.34,4.55,4.39,4.23,3.98,3.72,3.82,3.9,3.88,3.76,3.62,3.56,3.54,3.62
LDZ Total,219.61,151.37,174.4,191.48,158.37,136.98,145.86,138.36,139.47,151.87,149.06,148.7,147.31,158.87,167.64
"Ind, BE",9.88,9.34,9.6,9.36,9.65,8.92,9.39,9.38,9.37,9.53,9.08,9.41,9.75,9.78,9.36
"Ind, GB",2.32,2.41,2.28,2.09,2.09,2.99,2.41,2.3,2.28,2.03,2.18,2.24,2.39,2.07,2.17
"Ind, NL",21.74,19.0,19.84,19.64,18.52,17.81,18.9,18.86,19.01,19.38,19.47,19.26,18.92,19.73,20.18
"Ind, AT",9.64,8.74,7.9,7.85,7.6,8.64,9.06,8.81,9.79,9.58,8.51,8.24,8.46,9.25,9.34
"Ind, FR",20.86,18.88,19.08,19.59,19.28,18.02,19.01,19.25,19.55,19.36,17.75,16.77,16.56,18.03,19.58
"Ind, IT",31.26,29.73,28.18,30.52,29.88,28.79,28.82,29.1,31.19,31.2,29.3,23.18,16.51,19.61,25.84
"Ind, ES",40.21,39.11,39.01,38.62,39.02,37.89,36.7,38.28,40.51,38.73,37.25,35.41,33.26,34.69,36.5
"Ind, DE",104.48,93.89,92.36,97.44,97.46,92.11,91.34,87.4,96.81,96.21,92.31,93.24,93.18,93.75,99.49
Industrial Total,240.39,221.1,218.25,225.11,223.5,215.17,215.63,213.38,228.51,226.02,215.85,207.75,199.03,206.91,222.46
"GFP, AT",0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.31,0.62,0.54,0.53,0.44,0.44,0.46,0.52
"GFP, BE",6.29,6.91,5.35,4.64,9.27,11.7,8.94,7.96,9.53,8.5,8.59,8.53,8.7,9.03,9.76
"GFP, ES",19.87,23.57,20.23,16.9,29.01,35.18,25.86,35.79,32.81,31.16,26.0,24.36,22.67,25.43,25.84
"GFP, FR",0.19,1.21,0.54,0.11,3.76,12.54,6.45,7.12,5.53,2.15,2.35,2.3,2.35,2.23,2.63
"GFP, IT",34.58,41.68,33.49,34.84,56.29,80.67,72.01,73.54,75.83,67.77,66.76,59.8,57.72,56.14,60.41
"GFP, NL",15.18,15.48,11.17,9.03,18.39,18.89,13.97,15.85,9.1,10.0,9.54,9.56,10.87,11.37,12.05
"GFP, UK",24.36,26.93,21.97,21.42,32.65,41.83,28.13,31.95,33.82,40.02,36.76,33.87,34.67,36.1,40.09
GFP Total,101.08,116.17,92.93,87.19,149.73,201.82,156.7,172.52,167.24,160.14,150.53,138.86,137.42,140.76,151.3
NO pipeline flow,226.1,264.96,274.18,274.92,272.59,309.26,309.26,296.21,288.26,295.51,292.64,283.25,286.07,289.35,293.02
East pipeline flow,-34.86,-37.55,-35.69,-36.23,-36.65,-34.75,-35.23,-35.09,-45.65,-47.95,-48.57,-49.33,-49.62,-49.81,-49.91
South pipeline flow,95.06,93.93,80.78,81.39,78.97,73.56,73.17,72.0,69.58,69.03,68.34,67.52,67.41,67.48,67.75
Regas/LNG,279.54,286.61,250.98,269.89,268.63,255.12,216.5,230.26,234.06,239.22,237.08,219.67,223.98,227.52,230.55
Local production,109.95,108.71,109.29,113.22,113.37,110.23,113.01,109.94,102.37,102.27,99.1,91.23,91.77,92.51,93.44
"Injection, AT",16.62,29.64,21.06,24.73,25.74,23.4,19.18,19.23,,,,,,,
"Injection, BE",-1.55,1.08,0.11,0.4,-0.44,0.74,1.75,1.83,,,,,,,
"Injection, DE",46.28,85.8,73.25,64.01,62.23,79.57,49.54,42.0,,,,,,,
"Injection, ES",8.69,7.28,8.3,6.57,0.95,0.2,-1.72,-3.31,,,,,,,
"Injection, FR",24.49,43.39,25.59,31.03,38.42,20.81,17.4,16.58,,,,,,,
"Injection, GB",-10.14,2.31,1.63,-7.27,-6.99,6.79,16.72,4.02,,,,,,,
"Injection, IT",51.09,54.57,57.09,60.74,53.75,40.25,50.01,47.86,,,,,,,
"Injection, NL",25.98,33.98,49.91,57.29,32.69,30.62,44.21,52.01,,,,,,,
Inject Total,161.46,258.05,236.94,237.5,206.35,202.38,197.09,180.22,,,,,,,
