week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep
"LDZ, BE",7.29,6.49,7.47,6.61,6.5,6.15,6.27,6.16,6.86,7.8,8.63,9.16,10.13,11.13,12.01
"LDZ, GB",51.34,47.53,48.33,44.71,46.34,44.41,43.39,43.58,43.49,52.84,54.83,57.37,59.04,58.07,61.16
"LDZ, NL",10.75,9.75,11.79,10.93,10.63,11.2,10.08,9.83,11.14,12.77,13.61,14.07,15.16,15.86,14.9
"LDZ, FR",14.78,13.5,14.99,13.59,12.17,13.96,12.66,11.13,10.99,16.01,18.04,18.56,20.5,24.63,24.56
"LDZ, IT",29.28,28.99,29.04,29.08,28.77,29.62,28.52,24.5,20.8,27.6,27.81,29.57,30.6,33.63,34.99
"LDZ, DE",17.09,13.91,16.94,16.78,15.65,20.14,15.33,14.72,14.79,19.51,21.19,23.03,27.66,33.26,42.3
"LDZ, AT",11.39,12.77,13.5,12.78,12.35,11.75,10.97,10.59,11.77,12.66,12.89,13.16,14.37,17.23,18.7
"LDZ, ES",3.87,3.45,3.22,3.41,3.33,3.39,3.07,2.75,2.44,2.75,2.78,2.93,3.19,3.37,3.5
LDZ Total,145.79,136.39,145.28,137.89,135.74,140.62,130.29,123.26,122.28,151.94,159.78,167.85,180.65,197.18,212.12
"Ind, BE",9.57,8.92,9.38,9.38,8.44,8.3,7.89,8.18,8.87,9.69,9.42,10.19,10.69,10.31,10.1
"Ind, GB",1.96,2.99,2.41,2.3,2.44,2.22,2.39,1.78,2.38,2.04,2.26,2.49,2.66,2.24,2.33
"Ind, NL",18.32,17.81,18.9,18.86,18.47,18.02,17.55,17.47,17.72,19.61,20.41,20.16,19.89,19.96,21.43
"Ind, AT",7.68,8.89,9.38,8.81,8.42,7.86,6.99,7.21,8.0,9.12,9.47,10.32,10.46,10.76,10.63
"Ind, FR",19.17,18.02,19.01,19.26,18.79,19.81,18.35,17.11,16.71,18.04,19.75,20.22,21.25,23.19,24.47
"Ind, IT",29.23,28.85,28.81,29.1,28.28,28.56,26.51,21.36,15.6,19.33,26.74,31.22,32.11,32.25,32.0
"Ind, ES",38.53,38.42,37.2,38.69,38.9,37.92,36.39,33.94,31.62,34.63,37.16,39.33,40.45,41.39,41.4
"Ind, DE",93.71,93.2,91.93,87.88,88.69,87.21,86.1,86.4,92.02,93.25,100.13,99.72,102.43,99.15,106.57
Industrial Total,218.17,217.1,217.02,214.28,212.43,209.9,202.17,193.45,192.92,205.71,225.34,233.65,239.94,239.25,248.93
"GFP, AT",2.56,3.57,1.86,1.08,3.28,0.42,2.46,1.15,1.49,0.18,0.11,0.21,0.13,0.41,0.23
"GFP, BE",14.33,16.82,12.65,11.26,13.46,9.61,11.98,12.5,13.98,10.55,9.79,10.05,9.64,10.95,11.52
"GFP, ES",28.11,34.86,26.48,33.56,35.53,29.14,33.75,35.77,37.76,29.28,27.99,31.48,32.18,34.94,30.96
"GFP, FR",5.46,12.2,7.98,4.65,8.62,3.66,5.56,6.85,8.88,5.16,3.53,3.56,2.5,2.69,3.03
"GFP, IT",64.11,81.12,64.74,67.14,78.62,63.7,72.48,65.03,53.38,49.82,52.47,60.39,59.16,56.85,58.54
"GFP, NL",20.05,20.67,17.83,18.27,19.8,13.27,18.8,19.27,20.49,16.15,14.54,13.9,14.17,15.29,15.95
"GFP, UK",40.9,52.75,31.06,37.45,35.49,27.0,32.64,24.8,35.32,21.22,20.26,20.37,22.66,21.55,22.27
GFP Total,175.52,221.99,162.6,173.41,194.8,146.8,177.67,165.37,171.3,132.36,128.69,139.96,140.44,142.68,142.5
NO pipeline flow,298.32,309.26,309.26,296.2,302.22,298.5,306.94,298.9,294.19,291.98,295.47,213.74,203.61,207.97,212.51
North Africa flow,88.49,84.78,83.99,82.98,80.66,80.94,80.66,78.06,78.8,82.0,82.42,70.78,69.4,70.16,71.01
Other flow,-7.86,-7.01,-7.72,-7.4,-3.18,-6.02,-2.32,-10.92,-10.58,-7.85,-7.68,-2.15,-0.99,-0.67,-0.31
Regas/LNG,204.33,255.11,216.5,230.26,208.3,179.43,207.96,210.05,239.97,233.85,233.57,258.87,263.78,264.86,266.2
Local production,112.75,110.47,113.2,109.94,114.56,123.74,119.7,97.87,104.12,95.38,96.26,94.21,94.86,96.15,97.53
"Injection, AT",25.74,23.4,19.18,23.58,17.26,14.41,19.67,11.43,,,,,,,
"Injection, BE",-0.44,0.74,1.75,2.25,2.63,2.52,3.44,4.75,,,,,,,
"Injection, DE",62.26,79.6,49.54,44.3,36.1,24.85,31.33,44.93,,,,,,,
"Injection, ES",0.95,0.2,-1.72,-2.8,-3.1,-0.11,0.58,1.44,,,,,,,
"Injection, FR",38.42,20.81,17.4,19.5,23.93,26.57,44.56,46.27,,,,,,,
"Injection, GB",-6.99,6.79,16.72,2.04,14.6,23.06,16.83,0.45,,,,,,,
"Injection, IT",53.89,40.39,50.05,51.8,46.75,46.99,45.62,36.45,,,,,,,
"Injection, NL",32.69,30.62,44.41,51.35,45.22,47.56,43.4,39.06,,,,,,,
Inject Total,206.52,202.55,197.33,192.02,183.39,185.85,205.43,184.78,,,,,,,
