week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug
"LDZ, BE",11.41,13.47,17.66,11.97,7.49,9.14,10.33,8.31,6.61,7.6,7.63,7.96,7.66,7.5,7.4
"LDZ, GB",77.96,88.11,103.82,70.31,48.63,59.41,66.12,54.92,43.51,50.04,50.71,50.43,51.23,50.23,49.55
"LDZ, NL",18.08,19.76,28.41,16.67,11.16,13.32,14.95,12.76,10.3,12.03,12.2,12.87,12.27,11.64,11.52
"LDZ, FR",22.73,26.57,34.03,23.83,15.64,18.54,19.11,16.14,9.96,14.81,15.07,15.61,14.83,15.79,15.3
"LDZ, IT",37.64,39.0,44.87,37.81,31.85,30.32,32.25,31.33,25.07,25.5,26.99,27.69,27.54,27.69,28.55
"LDZ, DE",49.89,45.98,71.82,37.47,19.48,25.93,30.93,20.46,10.96,15.89,16.87,19.41,16.71,16.03,15.08
"LDZ, AT",19.41,16.94,20.27,15.82,12.76,12.74,13.36,12.27,11.74,12.09,12.57,12.97,12.56,12.76,12.72
"LDZ, ES",5.72,7.53,8.17,5.57,4.34,4.55,4.39,4.32,4.4,4.33,4.22,4.11,3.99,3.84,3.71
LDZ Total,242.84,257.36,329.05,219.45,151.35,173.95,191.44,160.51,122.55,142.29,146.26,151.05,146.79,145.48,143.83
"Ind, BE",10.53,10.23,9.93,9.88,9.34,9.64,9.36,9.78,9.94,9.74,9.39,9.47,9.55,9.1,9.28
"Ind, GB",2.36,2.5,2.53,2.32,2.41,2.28,2.09,2.09,2.51,2.14,1.98,2.27,2.02,2.17,2.38
"Ind, NL",21.7,22.16,23.52,21.74,19.0,19.84,19.64,18.79,19.67,19.43,19.57,19.15,19.46,19.55,19.48
"Ind, AT",11.33,9.65,9.99,9.37,8.36,7.9,7.85,7.9,9.68,9.8,9.77,9.9,9.62,8.55,7.96
"Ind, FR",21.49,21.96,22.26,20.86,18.88,19.08,19.59,19.47,20.41,20.57,20.33,19.82,19.49,17.88,16.94
"Ind, IT",29.45,30.86,31.87,31.26,29.73,28.18,30.52,30.49,30.31,29.94,31.07,31.13,31.28,29.38,24.85
"Ind, ES",39.29,41.73,41.83,40.21,39.11,39.01,38.62,39.86,40.06,39.86,40.19,40.25,38.92,37.44,34.94
"Ind, DE",102.63,113.82,114.11,104.46,93.85,92.37,98.4,101.24,97.65,98.38,99.66,97.62,96.67,92.76,90.68
Industrial Total,238.78,252.91,256.04,240.1,220.68,218.3,226.07,229.62,230.23,229.86,231.96,229.61,227.01,216.83,206.51
"GFP, AT",1.63,0.65,0.98,0.61,0.39,0.18,0.25,0.36,0.65,0.51,0.49,0.5,0.5,0.49,0.51
"GFP, BE",4.35,9.78,4.97,6.29,6.91,5.36,4.64,9.27,10.36,7.78,6.59,7.15,7.39,7.9,9.4
"GFP, ES",20.1,21.1,19.86,19.87,23.57,20.23,16.9,28.14,25.54,21.64,26.16,27.06,27.36,26.88,26.29
"GFP, FR",0.28,1.62,0.26,0.19,1.21,0.54,0.11,3.56,4.71,2.77,2.51,2.21,2.7,2.66,3.17
"GFP, IT",31.25,47.88,35.66,34.58,41.68,33.49,34.84,56.82,71.51,74.07,71.59,68.71,68.37,67.47,64.59
"GFP, NL",9.72,20.26,11.65,15.18,15.48,11.17,9.03,18.39,9.91,6.67,7.74,8.28,9.0,9.52,11.59
"GFP, UK",18.02,34.31,23.01,24.36,26.93,21.97,21.42,32.65,34.75,29.89,33.56,34.7,37.7,37.8,38.23
GFP Total,85.35,135.6,96.39,101.08,116.17,92.94,87.19,149.19,157.43,143.33,148.64,148.61,153.02,152.72,153.78
NO pipeline flow,264.0,257.97,264.34,230.31,264.96,274.18,274.92,266.86,256.87,282.11,292.18,292.34,293.1,290.43,282.05
East pipeline flow,-31.92,-33.53,-31.04,-34.47,-37.55,-35.69,-36.23,-38.96,-50.18,-49.2,-49.21,-49.86,-50.41,-50.58,-49.82
South pipeline flow,91.83,94.44,90.48,93.3,93.93,80.78,81.39,78.59,77.86,72.8,70.28,69.51,68.92,68.27,67.73
Regas/LNG,349.24,324.87,310.06,284.48,286.61,250.98,269.89,268.48,256.85,257.7,258.31,261.05,263.1,254.41,233.26
Local production,118.56,111.01,108.25,110.44,108.71,109.29,113.22,109.13,96.75,99.75,100.77,100.54,100.53,97.56,89.91
"Injection, AT",29.63,25.82,11.81,16.62,29.64,21.06,24.73,23.46,,,,,,,
"Injection, BE",0.82,-1.16,-1.27,-1.55,1.08,0.11,0.4,-0.38,,,,,,,
"Injection, DE",72.44,35.1,15.97,46.28,85.8,73.25,64.01,55.09,,,,,,,
"Injection, ES",7.43,4.91,5.56,8.69,7.28,8.3,6.57,1.29,,,,,,,
"Injection, FR",55.85,33.71,21.59,24.49,43.39,25.59,31.03,48.7,,,,,,,
"Injection, GB",2.04,-27.68,-13.87,-10.14,2.31,1.63,-7.27,-22.3,,,,,,,
"Injection, IT",64.35,53.04,46.95,51.09,54.57,57.09,60.74,56.12,,,,,,,
"Injection, NL",28.52,15.97,16.33,25.98,33.98,49.78,56.47,47.48,,,,,,,
Inject Total,261.08,139.71,103.07,161.46,258.05,236.81,236.68,209.46,,,,,,,
