week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep,28-Sep,05-Oct
"LDZ, BE",7.47,6.61,6.5,6.15,6.26,6.15,6.64,7.71,8.31,8.54,9.31,12.7,13.57,14.97,18.16
"LDZ, GB",48.33,44.71,46.34,44.41,43.39,43.58,42.4,47.65,49.31,52.86,55.61,64.49,73.21,83.83,94.43
"LDZ, NL",11.79,10.93,10.63,11.2,10.08,9.83,10.78,12.75,12.97,13.16,14.19,15.31,16.13,18.94,27.84
"LDZ, FR",14.99,13.59,12.17,13.96,12.66,11.13,10.31,12.28,16.42,17.53,18.46,24.04,26.34,27.47,26.5
"LDZ, IT",29.04,29.08,28.77,29.62,28.52,24.5,19.59,21.75,27.46,27.97,28.59,32.26,34.3,34.61,37.14
"LDZ, DE",16.94,16.78,15.65,20.11,15.33,14.72,14.97,20.12,19.44,21.5,22.8,32.93,38.79,49.06,67.29
"LDZ, AT",13.55,12.81,12.43,11.95,11.04,10.59,11.66,13.0,13.2,13.03,13.24,16.03,16.81,17.63,22.47
"LDZ, ES",3.22,3.41,3.33,3.39,3.07,2.75,2.36,2.57,2.71,2.58,2.73,2.87,3.0,3.23,3.52
LDZ Total,145.33,137.92,135.82,140.79,130.35,123.25,118.71,137.83,149.82,157.17,164.93,200.63,222.15,249.74,297.35
"Ind, BE",9.38,9.38,8.44,8.3,7.89,8.17,8.71,8.75,8.82,10.13,10.63,10.25,10.03,10.33,10.6
"Ind, GB",2.41,2.3,2.44,2.22,2.39,1.78,2.39,2.74,2.45,2.49,2.65,2.23,2.33,2.36,2.31
"Ind, NL",18.9,18.86,18.47,18.02,17.55,17.47,17.45,19.27,20.11,20.13,19.86,19.93,21.4,21.47,20.81
"Ind, AT",9.62,9.12,8.71,8.07,7.14,7.21,7.78,8.92,9.65,10.35,10.49,10.79,10.66,12.86,13.56
"Ind, FR",19.01,19.26,18.79,19.81,18.35,17.11,16.65,17.88,19.79,20.18,21.21,23.16,24.43,24.82,25.07
"Ind, IT",28.81,29.1,28.28,28.56,26.51,21.36,15.19,17.85,26.96,31.15,32.04,32.18,31.93,32.21,32.21
"Ind, ES",37.2,38.69,38.9,37.92,36.39,33.94,30.94,31.35,36.91,39.22,40.34,41.28,41.3,41.11,40.89
"Ind, DE",92.09,88.22,87.39,86.35,86.21,86.39,90.79,95.64,101.37,99.74,102.46,99.17,106.6,111.83,120.29
Industrial Total,217.42,214.93,211.42,209.25,202.43,193.43,189.9,202.4,226.06,233.39,239.68,238.99,248.68,256.99,265.74
"GFP, AT",0.63,1.06,3.24,0.31,2.44,1.15,2.27,2.92,0.47,0.0,0.0,0.03,0.01,0.09,0.17
"GFP, BE",9.63,11.23,13.4,9.53,11.93,12.57,14.92,15.3,10.25,7.93,8.55,10.91,10.21,11.28,11.91
"GFP, ES",25.0,35.13,36.33,30.42,35.32,37.13,39.73,30.88,28.52,28.07,29.3,35.99,34.66,33.87,30.87
"GFP, FR",3.71,4.71,8.4,3.64,5.47,6.97,9.1,9.35,5.42,2.17,2.21,4.34,3.14,5.34,7.21
"GFP, IT",52.53,66.96,79.03,63.66,72.57,64.86,54.27,47.92,51.74,54.79,53.66,49.54,46.99,47.74,52.79
"GFP, NL",14.06,18.16,19.77,13.14,18.68,19.22,21.96,23.38,14.13,9.26,11.44,15.05,14.54,15.4,16.05
"GFP, UK",19.73,37.75,35.77,27.0,32.77,25.14,41.75,36.66,20.56,7.42,11.97,24.69,22.44,22.48,24.11
GFP Total,125.29,175.0,195.94,147.7,179.18,167.04,184.0,166.41,131.09,109.64,117.13,140.55,131.99,136.2,143.11
NO pipeline flow,306.0,296.2,302.22,298.5,306.94,298.9,295.61,295.54,308.58,214.0,203.78,208.26,212.92,252.49,283.4
North Africa flow,86.99,82.98,80.66,80.94,80.66,78.06,78.96,78.05,77.07,70.64,69.32,70.02,70.81,78.49,84.55
Other flow,-10.31,-7.4,-3.18,-6.02,-2.32,-10.92,-8.99,-9.8,-12.58,-2.21,-1.03,-0.76,-0.45,2.19,4.28
Regas/LNG,186.11,230.26,208.3,179.43,207.96,210.05,240.22,239.1,266.63,285.22,283.26,279.29,277.07,287.12,295.29
Local production,112.7,109.89,114.58,123.74,119.7,97.87,108.04,110.4,105.53,95.16,95.85,97.15,98.54,102.71,106.24
"Injection, AT",19.18,23.58,17.26,14.41,19.67,11.43,23.92,17.7,,,,,,,
"Injection, BE",1.75,2.25,2.63,2.52,3.44,4.75,4.4,4.32,,,,,,,
"Injection, DE",49.54,44.3,36.1,24.85,31.33,44.93,47.18,28.03,,,,,,,
"Injection, ES",-1.72,-2.8,-3.1,-0.11,0.58,1.44,3.06,0.57,,,,,,,
"Injection, FR",17.4,19.5,23.93,26.57,44.56,46.27,51.6,50.07,,,,,,,
"Injection, GB",16.72,2.04,14.6,23.06,16.83,0.45,-0.69,6.04,,,,,,,
"Injection, IT",50.05,51.8,46.75,46.99,45.62,36.45,53.42,52.42,,,,,,,
"Injection, NL",44.41,51.35,45.22,47.56,43.4,39.06,36.24,45.78,,,,,,,
Inject Total,197.33,192.02,183.39,185.85,205.43,184.78,219.13,204.93,,,,,,,
