week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep,14-Sep,21-Sep,28-Sep,05-Oct,12-Oct
"LDZ, BE",6.61,6.5,6.15,6.26,6.15,6.64,7.71,8.29,8.41,9.7,12.87,13.5,14.46,17.54,17.68
"LDZ, GB",44.71,46.34,44.41,43.39,43.58,42.4,47.65,48.95,53.03,56.37,65.61,63.24,88.66,93.39,89.65
"LDZ, NL",10.93,10.63,11.2,10.08,9.83,10.78,12.75,12.95,13.24,14.71,16.33,16.76,18.34,23.74,26.55
"LDZ, FR",13.59,12.17,13.96,12.66,11.13,10.31,12.28,16.35,17.24,18.54,23.43,28.1,30.99,30.2,31.1
"LDZ, IT",29.08,28.77,29.62,28.52,24.5,19.59,21.75,27.44,27.51,29.43,33.54,35.16,34.96,35.46,38.38
"LDZ, DE",16.78,15.65,20.11,15.33,14.72,14.97,20.12,19.29,21.1,25.36,39.5,40.09,38.64,59.47,71.1
"LDZ, AT",12.81,12.43,11.95,11.04,10.59,11.66,13.0,13.22,12.99,14.14,17.6,18.09,16.2,19.59,24.92
"LDZ, ES",3.41,3.33,3.39,3.07,2.75,2.36,2.57,2.71,2.58,2.73,2.87,3.0,3.23,3.52,3.79
LDZ Total,137.92,135.82,140.79,130.35,123.25,118.71,137.83,149.2,156.1,170.98,211.75,217.94,245.48,282.91,303.17
"Ind, BE",9.38,8.44,8.3,7.89,8.17,8.71,8.75,8.82,10.13,10.63,10.25,10.03,10.33,10.6,10.15
"Ind, GB",2.3,2.44,2.22,2.39,1.78,2.39,2.74,2.45,2.49,2.65,2.23,2.33,2.36,2.31,2.56
"Ind, NL",18.86,18.47,18.02,17.55,17.47,17.45,19.27,20.11,20.13,19.86,19.93,21.4,21.47,20.81,21.27
"Ind, AT",9.12,8.71,8.07,7.14,7.21,7.78,8.92,9.65,10.35,10.49,10.79,10.66,12.86,13.56,13.0
"Ind, FR",19.26,18.79,19.81,18.35,17.11,16.65,17.88,19.79,20.18,21.21,23.16,24.43,24.82,25.07,24.45
"Ind, IT",29.1,28.28,28.56,26.51,21.36,15.19,17.85,26.96,31.15,32.04,32.18,31.93,32.21,32.21,30.08
"Ind, ES",38.69,38.9,37.92,36.39,33.94,30.94,31.35,36.91,39.22,40.34,41.28,41.3,41.11,40.89,36.04
"Ind, DE",88.22,87.39,86.35,86.21,86.39,90.79,95.64,101.37,99.74,102.46,99.17,106.6,111.83,120.29,114.42
Industrial Total,214.93,211.42,209.25,202.43,193.43,189.9,202.4,226.06,233.39,239.68,238.99,248.68,256.99,265.74,251.97
"GFP, AT",1.35,3.26,0.31,2.43,1.15,2.24,2.9,0.47,0.03,0.0,0.23,0.03,0.17,0.78,0.82
"GFP, BE",11.88,13.41,9.53,11.91,12.53,14.92,15.16,10.37,9.51,9.25,11.71,11.98,11.72,12.65,14.7
"GFP, ES",34.86,36.33,30.38,35.29,37.17,39.7,30.85,27.19,32.99,29.64,34.2,33.93,34.05,31.11,30.7
"GFP, FR",5.22,8.41,3.64,5.43,6.97,9.09,9.3,4.26,3.21,2.56,4.66,5.31,6.36,8.86,9.46
"GFP, IT",67.8,79.01,63.62,72.52,64.81,54.13,47.46,53.81,65.56,61.56,52.29,50.62,51.07,57.33,62.25
"GFP, NL",18.51,19.76,13.15,18.61,19.11,21.87,23.28,14.4,12.26,12.54,16.05,16.17,15.72,17.2,18.88
"GFP, UK",38.59,35.87,27.1,32.88,25.21,41.76,36.67,25.02,12.44,16.66,30.91,27.29,24.68,31.11,32.24
GFP Total,178.21,196.05,147.73,179.07,166.95,183.71,165.62,135.52,136.0,132.21,150.05,145.33,143.77,159.04,169.05
NO pipeline flow,296.2,302.22,298.5,306.94,298.9,295.61,295.54,296.8,213.89,203.7,208.06,212.59,252.32,283.31,287.54
North Africa flow,82.98,80.66,80.94,80.66,78.06,78.96,78.05,76.42,70.64,69.31,70.0,70.8,78.48,84.54,85.88
Other flow,-7.4,-3.18,-6.02,-2.32,-10.92,-8.99,-9.8,-11.44,-2.2,-1.02,-0.74,-0.42,2.21,4.29,4.88
Regas/LNG,230.26,208.3,179.43,207.96,210.05,240.22,239.1,266.71,286.38,284.87,280.47,277.91,287.88,295.99,299.6
Local production,109.89,114.58,123.74,119.7,97.87,108.04,110.4,105.53,95.16,95.85,97.15,98.54,102.71,106.24,107.61
"Injection, AT",23.58,17.26,14.41,19.67,11.43,23.92,17.7,16.11,,,,,,,
"Injection, BE",2.25,2.63,2.52,3.44,4.75,4.4,4.32,5.48,,,,,,,
"Injection, DE",44.3,36.1,24.85,31.33,44.93,47.18,28.03,48.13,,,,,,,
"Injection, ES",-2.8,-3.1,-0.11,0.58,1.44,3.06,0.57,0.0,,,,,,,
"Injection, FR",19.5,23.93,26.57,44.56,46.27,51.6,50.07,58.32,,,,,,,
"Injection, GB",2.04,14.6,23.06,16.83,0.45,-0.69,6.04,33.6,,,,,,,
"Injection, IT",51.8,46.75,46.99,45.62,36.45,53.42,52.42,42.92,,,,,,,
"Injection, NL",51.35,45.22,47.56,43.4,39.06,36.24,45.78,45.36,,,,,,,
Inject Total,192.02,183.39,185.85,205.43,184.78,219.13,204.93,249.92,,,,,,,
