week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul
"LDZ, BE",16.31,16.34,16.21,11.42,13.51,17.66,11.97,7.31,10.82,11.16,9.27,7.9,7.96,8.04,7.7
"LDZ, GB",107.41,105.86,97.49,77.96,88.11,103.82,70.31,48.61,61.09,72.16,55.53,55.9,54.01,51.84,50.67
"LDZ, NL",26.46,23.99,25.06,18.08,19.76,28.41,16.67,11.16,14.83,15.49,14.57,13.03,12.99,12.81,12.23
"LDZ, FR",36.72,39.98,33.08,22.77,26.6,34.0,23.79,15.61,21.9,19.67,17.69,15.94,16.03,16.84,15.7
"LDZ, IT",49.44,47.53,45.29,37.79,39.0,44.87,37.81,31.85,30.91,30.26,30.01,27.27,28.06,28.64,27.53
"LDZ, DE",80.59,65.98,74.8,49.89,45.98,71.81,37.46,19.48,24.52,24.67,23.99,18.43,19.31,19.2,16.29
"LDZ, AT",24.75,24.9,22.77,19.39,16.94,20.27,15.82,12.76,14.07,13.23,13.54,12.64,13.16,13.23,12.81
"LDZ, ES",8.3,8.77,6.05,5.5,6.29,6.53,5.9,5.28,5.41,5.49,5.37,5.15,4.92,4.77,4.66
LDZ Total,349.98,333.35,320.75,242.8,256.19,327.37,219.73,152.06,183.55,192.13,169.97,156.26,156.44,155.37,147.59
"Ind, BE",10.69,10.38,10.98,10.53,10.23,9.93,9.88,9.34,9.7,9.85,10.02,9.97,9.76,9.41,9.43
"Ind, GB",2.09,2.7,2.48,2.36,2.5,2.53,2.32,2.41,2.06,1.9,2.5,2.49,2.13,1.96,2.2
"Ind, NL",20.81,21.11,22.58,21.7,22.16,23.52,21.74,19.0,20.14,20.6,20.18,19.69,19.44,19.58,19.09
"Ind, AT",14.38,14.37,13.15,11.33,9.65,9.99,9.37,8.36,10.5,9.97,9.64,9.7,9.82,9.79,9.93
"Ind, FR",23.48,23.84,23.31,21.49,21.96,22.26,20.86,18.88,20.42,20.86,20.37,20.4,20.57,20.32,19.79
"Ind, IT",30.13,32.38,31.54,29.75,30.86,31.87,31.26,29.73,30.96,31.38,30.68,30.38,30.02,31.14,31.2
"Ind, ES",38.04,40.21,39.8,39.52,42.97,43.47,39.89,38.17,41.79,40.47,40.42,40.19,39.98,40.31,40.43
"Ind, DE",117.04,126.4,118.77,102.58,112.99,113.01,104.27,93.72,106.7,100.9,99.34,97.08,97.81,99.09,97.36
Industrial Total,256.66,271.39,262.61,239.26,253.32,256.58,239.59,219.61,242.27,235.93,233.15,229.9,229.53,231.6,229.43
"GFP, AT",3.76,3.98,2.73,1.63,0.65,0.98,0.61,0.39,0.26,0.54,0.54,0.54,0.51,0.49,0.5
"GFP, BE",4.17,9.09,4.26,4.35,9.78,4.97,6.29,6.91,4.45,5.84,6.28,7.74,7.8,6.94,7.37
"GFP, ES",19.95,22.23,18.03,20.1,21.1,19.86,19.87,23.57,20.08,21.35,23.71,24.81,26.78,27.74,29.12
"GFP, FR",0.49,3.95,0.33,0.28,1.62,0.26,0.19,1.21,1.22,2.42,2.35,2.39,2.38,2.22,2.17
"GFP, IT",39.4,45.19,35.38,33.85,47.88,35.66,34.58,41.68,30.67,10.24,5.26,6.02,6.14,6.27,6.49
"GFP, NL",9.78,18.34,11.18,9.72,20.26,11.65,15.18,15.48,8.95,5.23,1.77,1.06,1.68,3.2,3.27
"GFP, UK",19.57,27.64,20.25,18.02,34.31,23.01,24.36,26.93,18.31,25.79,30.57,33.73,34.45,35.22,35.63
GFP Total,97.12,130.42,92.16,87.95,135.6,96.39,101.08,116.17,83.94,71.41,70.48,76.29,79.74,82.08,84.55
NO pipeline flow,291.09,286.55,262.35,264.0,257.97,264.34,230.31,264.96,255.41,256.74,254.79,253.39,280.26,291.11,291.47
East pipeline flow,-29.0,-29.0,-29.19,-31.92,-33.52,-31.04,-34.47,-37.55,-42.87,-51.09,-51.98,-52.8,-50.48,-49.92,-50.49
South pipeline flow,91.09,90.97,92.37,91.83,94.43,90.48,93.3,93.93,80.79,80.35,79.03,77.82,72.78,70.26,69.5
Regas/LNG,341.74,346.72,347.18,349.24,324.87,310.06,284.48,286.61,243.28,254.66,262.73,268.37,262.54,261.46,263.55
Local production,115.85,115.3,112.79,118.53,110.44,107.5,110.3,108.72,104.24,96.65,95.58,94.72,98.55,99.92,99.72
"Injection, AT",15.58,6.51,16.62,29.63,25.82,11.81,16.62,28.05,,,,,,,
"Injection, BE",-0.85,-0.44,0.21,0.82,-1.16,-1.27,-1.55,0.65,,,,,,,
"Injection, DE",27.13,13.83,26.81,72.44,35.1,15.97,46.28,84.53,,,,,,,
"Injection, ES",12.32,7.75,0.0,7.43,4.91,5.56,8.69,7.58,,,,,,,
"Injection, FR",48.89,33.8,40.84,55.85,33.71,21.59,24.49,35.48,,,,,,,
"Injection, GB",0.54,-15.34,-14.47,2.04,-27.68,-13.87,-10.14,3.86,,,,,,,
"Injection, IT",32.72,44.87,58.61,64.34,53.04,46.95,51.09,51.1,,,,,,,
"Injection, NL",20.42,26.4,28.41,28.52,15.97,16.33,25.98,34.19,,,,,,,
Inject Total,156.75,117.38,157.03,261.07,139.71,103.07,161.46,245.44,,,,,,,
