week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug
"LDZ, BE",13.47,17.66,11.97,7.49,9.13,10.31,8.12,6.51,8.03,7.79,7.37,7.74,7.59,7.64,7.57
"LDZ, GB",88.1,103.82,70.31,48.63,59.41,66.12,54.22,47.59,51.51,49.36,48.17,49.94,50.44,50.7,50.63
"LDZ, NL",19.76,28.41,16.67,11.16,13.32,14.95,12.38,9.75,12.96,12.64,11.86,12.14,11.94,12.24,12.14
"LDZ, FR",26.57,34.03,23.83,15.64,18.54,19.11,15.94,13.58,15.85,14.64,13.44,15.71,14.89,14.36,15.2
"LDZ, IT",39.0,44.87,37.81,31.85,30.32,32.32,30.8,29.11,28.91,28.71,26.04,26.97,26.39,25.73,26.6
"LDZ, DE",45.98,71.82,37.47,19.48,25.93,30.93,20.61,13.91,17.84,21.54,15.96,16.76,16.4,16.46,17.0
"LDZ, AT",16.94,20.49,15.98,12.78,12.74,13.36,12.08,12.68,12.71,13.67,12.36,12.71,12.69,12.49,12.66
"LDZ, ES",7.53,8.17,5.57,4.34,4.55,4.39,4.23,3.98,4.1,4.1,4.04,3.93,3.77,3.63,3.59
LDZ Total,257.35,329.27,219.61,151.37,173.94,191.49,158.38,137.11,151.91,152.45,139.24,145.9,144.11,143.25,145.39
"Ind, BE",10.23,9.93,9.88,9.34,9.6,9.36,9.65,8.91,9.58,9.36,9.45,9.52,9.08,9.4,9.7
"Ind, GB",2.5,2.53,2.32,2.41,2.28,2.09,2.09,2.99,2.5,1.99,2.29,2.04,2.19,2.25,2.38
"Ind, NL",22.16,23.52,21.74,19.0,19.84,19.64,18.52,17.81,19.37,19.53,19.11,19.42,19.51,19.3,18.87
"Ind, AT",9.92,10.29,9.64,8.74,7.9,7.85,7.6,8.64,9.65,9.75,9.89,9.6,8.53,8.27,8.51
"Ind, FR",21.96,22.26,20.86,18.88,19.08,19.59,19.28,17.94,20.17,20.27,19.76,19.43,17.82,16.84,16.59
"Ind, IT",30.86,31.87,31.26,29.73,28.18,30.52,29.88,28.79,30.95,31.04,31.1,31.25,29.35,23.24,16.65
"Ind, ES",41.73,41.83,40.21,39.11,39.01,38.62,39.02,37.89,40.51,40.13,40.2,38.87,37.38,35.55,33.46
"Ind, DE",113.84,114.12,104.47,93.88,92.39,98.4,99.1,91.96,102.21,99.62,97.58,96.62,92.72,93.65,93.99
Industrial Total,253.2,256.35,240.38,221.09,218.28,226.07,225.14,214.93,234.94,231.69,229.38,226.75,216.58,208.5,200.15
"GFP, AT",0.65,0.99,0.61,0.39,0.18,0.25,0.36,1.01,0.73,0.47,0.51,0.51,0.5,0.42,0.43
"GFP, BE",9.71,4.97,6.29,6.91,5.36,4.64,9.27,11.7,8.51,6.74,7.13,7.33,8.14,8.28,8.17
"GFP, ES",21.1,19.86,19.87,23.57,20.23,16.9,29.01,35.18,20.06,27.06,26.95,26.31,28.64,25.02,25.26
"GFP, FR",1.62,0.26,0.19,1.21,0.54,0.11,3.76,12.53,7.47,2.49,2.83,2.52,2.72,2.8,3.01
"GFP, IT",47.88,35.66,34.58,41.68,33.49,34.84,56.29,80.67,73.39,64.14,71.9,70.84,71.12,67.14,65.02
"GFP, NL",20.26,11.65,15.18,15.48,11.17,9.03,18.39,18.89,13.13,8.9,8.38,9.16,10.22,10.03,9.92
"GFP, UK",34.31,23.01,24.36,26.93,21.97,21.42,32.65,41.83,30.57,33.78,35.28,36.76,37.85,33.81,33.8
GFP Total,135.53,96.4,101.08,116.17,92.94,87.19,149.73,201.81,153.86,143.58,152.98,153.43,159.19,147.5,145.61
NO pipeline flow,257.41,264.34,230.31,264.96,274.18,274.92,272.59,309.26,291.86,292.73,293.48,294.8,292.05,282.92,285.8
East pipeline flow,-31.37,-31.04,-34.47,-37.55,-35.69,-36.23,-36.65,-34.75,-45.14,-49.04,-49.49,-49.86,-50.06,-50.04,-50.15
South pipeline flow,97.37,90.48,93.3,93.93,80.78,81.39,78.97,73.56,71.27,70.24,69.42,68.78,68.14,67.42,67.33
Regas/LNG,315.0,310.06,284.48,286.61,250.98,269.89,268.63,255.12,230.54,238.69,246.62,252.39,246.55,224.52,227.15
Local production,110.94,108.25,110.44,108.71,109.29,113.22,113.37,110.23,102.18,101.24,101.06,101.1,98.13,90.55,91.23
"Injection, AT",25.82,11.81,16.62,29.64,21.06,24.73,25.74,21.31,,,,,,,
"Injection, BE",-1.16,-1.27,-1.55,1.08,0.11,0.4,-0.44,0.84,,,,,,,
"Injection, DE",35.1,15.97,46.28,85.8,73.25,64.01,62.23,64.33,,,,,,,
"Injection, ES",4.91,5.56,8.69,7.28,8.3,6.57,0.95,0.35,,,,,,,
"Injection, FR",33.71,21.59,24.49,43.39,25.59,31.03,38.42,14.4,,,,,,,
"Injection, GB",-27.68,-13.87,-10.14,2.31,1.63,-7.27,-6.99,0.43,,,,,,,
"Injection, IT",53.04,46.95,51.09,54.57,57.09,60.74,53.75,34.14,,,,,,,
"Injection, NL",15.97,16.33,25.98,33.98,49.91,57.29,32.69,32.71,,,,,,,
Inject Total,139.71,103.07,161.46,258.05,236.94,237.5,206.35,168.51,,,,,,,
