week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul
"LDZ, BE",16.34,16.21,11.41,13.47,17.66,11.97,7.31,9.15,12.09,8.7,8.47,9.17,8.23,8.11,7.87
"LDZ, GB",105.86,97.49,77.96,88.11,103.82,70.31,48.63,59.41,68.1,52.41,54.79,56.64,54.03,51.2,50.6
"LDZ, NL",23.99,25.06,18.08,19.76,28.41,16.67,11.16,13.32,17.48,13.23,13.81,13.93,13.09,13.06,12.5
"LDZ, FR",39.98,33.08,22.73,26.57,34.03,23.83,15.65,18.54,21.49,14.59,15.99,18.29,17.33,16.27,16.33
"LDZ, IT",47.53,45.29,37.79,39.0,44.87,37.81,31.85,30.32,32.88,28.01,27.59,28.59,28.1,27.83,26.97
"LDZ, DE",65.98,74.8,49.89,45.98,71.81,37.46,19.48,25.93,32.06,20.33,21.7,20.23,17.6,18.87,17.63
"LDZ, AT",24.9,22.77,19.39,16.94,20.27,15.82,12.76,12.74,14.91,12.93,13.1,12.97,12.61,12.89,12.83
"LDZ, ES",8.77,6.05,5.72,7.53,8.17,5.57,4.34,4.55,4.52,4.51,4.41,4.25,4.11,4.02,3.91
LDZ Total,333.35,320.75,242.97,257.36,329.04,219.44,151.18,173.96,203.53,154.71,159.86,164.07,155.1,152.25,148.64
"Ind, BE",10.38,10.98,10.53,10.23,9.93,9.88,9.34,9.64,9.64,10.01,9.96,9.75,9.4,9.48,9.56
"Ind, GB",2.7,2.48,2.36,2.5,2.53,2.32,2.41,2.28,2.19,2.51,2.5,2.14,1.98,2.27,2.02
"Ind, NL",21.11,22.58,21.7,22.16,23.52,21.74,19.0,19.84,20.38,20.18,19.68,19.44,19.58,19.16,19.47
"Ind, AT",14.37,13.15,11.33,9.65,9.99,9.37,8.36,7.9,9.54,9.64,9.71,9.83,9.8,9.94,9.65
"Ind, FR",23.84,23.31,21.49,21.96,22.26,20.86,18.88,19.08,20.45,20.37,20.4,20.57,20.32,19.81,19.48
"Ind, IT",32.38,31.54,29.75,30.86,31.87,31.26,29.73,28.18,32.25,30.64,30.35,29.98,31.11,31.17,31.32
"Ind, ES",40.21,39.8,39.29,41.73,41.83,40.21,39.11,39.01,41.32,40.34,40.11,39.91,40.24,40.3,38.97
"Ind, DE",126.42,118.78,102.6,113.03,113.13,104.46,93.74,92.36,105.48,99.61,97.35,98.07,99.35,97.31,96.36
Industrial Total,271.41,262.62,239.05,252.12,255.06,240.1,220.57,218.29,241.25,233.3,230.06,229.69,231.78,229.44,226.83
"GFP, AT",3.98,2.73,1.63,0.65,0.98,0.61,0.39,0.18,0.29,0.54,0.51,0.48,0.49,0.5,0.51
"GFP, BE",9.09,4.26,4.35,9.78,4.97,6.29,6.91,5.36,4.6,5.77,6.92,7.02,6.49,7.3,7.47
"GFP, ES",22.23,18.03,20.1,21.1,19.86,19.87,23.57,20.23,16.22,25.86,23.92,21.08,23.13,24.75,27.28
"GFP, FR",3.95,0.33,0.28,1.62,0.26,0.19,1.21,0.54,0.83,2.91,2.4,2.26,2.11,2.04,2.44
"GFP, IT",45.19,35.38,33.85,47.88,35.66,34.58,41.68,33.49,30.74,6.24,6.58,6.13,6.22,6.63,7.3
"GFP, NL",18.34,11.18,9.72,20.26,11.65,15.18,15.48,11.17,9.06,4.23,1.1,1.5,2.52,2.87,3.14
"GFP, UK",27.64,20.25,18.02,34.31,23.01,24.36,26.93,21.97,18.84,25.79,31.15,31.86,34.55,36.27,38.4
GFP Total,130.42,92.16,87.95,135.6,96.39,101.08,116.17,92.94,80.58,71.34,72.58,70.33,75.51,80.36,86.54
NO pipeline flow,269.28,262.35,264.0,257.97,264.34,230.31,264.96,274.18,266.81,257.1,255.47,281.49,291.86,292.01,292.77
East pipeline flow,-32.43,-29.19,-31.92,-33.53,-31.04,-34.47,-37.55,-35.69,-41.76,-50.64,-51.57,-49.79,-49.51,-50.18,-50.75
South pipeline flow,92.71,92.37,91.83,94.44,90.48,93.3,93.93,80.78,79.81,78.98,77.78,72.75,70.25,69.49,68.9
Regas/LNG,337.11,347.18,349.24,324.87,310.06,284.48,286.61,250.98,267.1,266.55,270.9,264.22,262.52,264.15,265.43
Local production,116.75,112.79,118.55,110.44,107.5,110.3,108.72,109.29,103.92,96.27,95.37,99.0,100.27,100.04,100.04
"Injection, AT",6.51,16.62,29.63,25.82,11.81,16.62,29.64,18.71,,,,,,,
"Injection, BE",-0.44,0.21,0.82,-1.16,-1.27,-1.55,1.08,-0.01,,,,,,,
"Injection, DE",13.83,26.81,72.44,35.1,15.97,46.28,85.8,66.61,,,,,,,
"Injection, ES",7.75,0.0,7.43,4.91,5.56,8.69,7.28,7.57,,,,,,,
"Injection, FR",33.8,40.84,55.85,33.71,21.59,24.49,43.39,20.49,,,,,,,
"Injection, GB",-15.34,-14.47,2.04,-27.68,-13.87,-10.14,2.31,-3.71,,,,,,,
"Injection, IT",44.87,58.61,64.34,53.04,46.95,51.09,54.57,55.53,,,,,,,
"Injection, NL",26.4,28.41,28.52,15.97,16.33,25.98,33.98,44.42,,,,,,,
Inject Total,117.38,157.03,261.07,139.71,103.07,161.46,258.05,209.61,,,,,,,
