week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,09-Mar,16-Mar,23-Mar,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun
"LDZ, BE",23.86,25.23,25.81,27.13,16.92,16.79,16.56,12.71,18.38,13.81,14.06,13.17,10.29,9.59,9.53
"LDZ, GB",156.12,139.36,145.03,137.1,108.46,112.81,102.24,80.58,103.25,99.81,85.43,85.74,66.01,61.06,55.93
"LDZ, NL",39.02,39.05,40.84,41.24,26.49,25.36,25.05,20.13,26.11,16.64,16.09,15.31,15.31,14.61,14.27
"LDZ, FR",64.73,71.97,72.31,74.64,37.32,43.4,34.33,24.42,39.54,31.49,31.07,27.59,22.14,19.19,19.02
"LDZ, IT",93.44,94.04,100.75,95.61,53.47,50.37,45.62,37.49,39.58,36.36,35.8,34.6,32.74,31.53,31.57
"LDZ, DE",92.26,116.69,109.48,126.1,82.74,71.74,71.53,59.78,48.27,36.59,30.47,31.57,24.33,22.87,22.38
"LDZ, AT",29.63,33.73,33.05,36.28,23.68,25.77,23.17,20.16,14.48,15.11,15.87,16,14.1,13.44,13.35
"LDZ, ES",22.78,18.81,19.8,18.06,16.37,17.1,16.49,15.68,8.15,6.82,6.82,6.82,5.12,4.45,4.42
LDZ Total,521.84,538.88,547.07,556.16,365.45,363.34,334.99,270.95,297.76,256.63,235.61,230.8,190.04,176.74,170.47
"Ind, BE",10.64,10.99,10.82,10.74,10.56,10.54,10.82,10.7,10.4,10.7,10.24,9.85,9.69,10.01,9.9
"Ind, GB",2.6,2.12,2.3,2.54,2.18,2.66,2.46,2.38,2.2,2.07,2.1,2.13,2.02,1.87,2.32
"Ind, NL",19.76,20.32,20.64,22.22,21.43,20.62,22.27,22.08,21.3,20.75,20.55,22.44,21.22,20.55,20.18
"Ind, AT",15.53,16.58,15.93,17.47,13.04,14.04,12.93,11.47,10.16,10.74,10.58,10.48,10.26,9.91,9.77
"Ind, FR",26.31,26.52,25,24.89,23.03,24.23,23.38,21.91,21.18,21.45,22,21.77,20.52,21.03,20.57
"Ind, IT",33.54,33.87,33.84,32.35,28.36,32.56,32,29.85,30.79,32.43,32.52,32.15,30.48,31.58,31.3
"Ind, ES",39.16,36.51,35.78,32.96,28.51,32.14,29.99,29.02,35.92,40.09,40.05,39.13,38.51,39.48,38.68
"Ind, DE",126.61,138.75,132.24,135,112.95,127.46,119.3,103.87,113.09,106.83,106.25,107.77,102.66,101.48,99.81
Industrial Total,274.15,285.66,276.55,278.17,240.06,264.25,253.15,231.28,245.04,245.06,244.29,245.72,235.36,235.91,232.53
"GFP, AT",4.62,4.93,4.73,5.65,3.18,4.24,2.87,2.04,0.64,0.6,0.6,0.6,1.68,2.54,2.43
"GFP, BE",4.47,3.47,4.23,6.07,3.91,8.72,4.73,3.54,8.31,6.82,5.38,3.84,7.03,8.44,8.56
"GFP, ES",28.39,20.53,20.34,18.25,20.2,22.11,18.46,19.22,21.22,17.41,15.79,16.72,14.77,9.18,8.83
"GFP, FR",1.52,1.19,2.44,4.62,0.59,4,0.27,0.35,1.93,0.63,0.79,0.67,56.68,76.91,74.95
"GFP, IT",59.84,49.73,43.54,44.82,41.02,46.36,33.58,34.73,53.01,53.89,53.78,53.31,54.49,61.26,59.78
"GFP, NL",13.22,10.64,8.07,13,8.86,18.16,10.39,9.31,11.42,6,6.41,5.27,6.23,6.9,6.68
"GFP, UK",35.81,33.34,26.65,25.53,17.12,27.93,20.09,16.16,32.84,30.56,30.89,27.5,36.84,38.81,35.84
GFP Total,147.87,123.83,110,117.94,94.88,131.52,90.39,85.35,129.37,115.91,113.64,107.91,177.72,204.04,197.07
Local production,131.65,127.03,123.25,118.45,120.34,118.11,114.07,121.88,115, 115 , 115 , 115 , 115 , 115 , 115 
NO pipeline flow,299.2,296.74,293.62,302.88,303.84,291.19,262.09,268.96,214.87, 274 , 274 , 274 , 274 , 274 , 274 
East pipeline flow,-35.3,-29.46,-32.1,-31.22,-29.23,-27.79,-31.43,-28.54,-20.89,-18 ,-18 ,-18 ,-18 ,-18 ,-18 
South pipeline flow,93.17,93.61,97.25,98.03,90.82,90.07,91.89,94.2,87.5, 79 , 79 , 79 , 79 , 79 , 79 
Regas/LNG,402.38,371.47,376.98,388.08,345.18,350.09,342.53,347.4,281.52, 355 , 355 , 355 , 355 , 355 , 355 
"Injection, AT",-5.4,-7.12,-8.05,-11.84,17.89,4.11,15.48,26.44,40.2,,,,,,
"Injection, BE",-0.83,-1.44,-1.97,-0.9,-0.4,-0.84,-0.33,1.16,0.47,,,,,,
"Injection, DE",31.37,-3.77,9.76,-19.23,37.33,4.51,26.47,65.36,90.13,,,,,,
"Injection, ES",-0.18,-0.97,3.1,9.96,12.48,10.66,0.6,4.56,10.07,,,,,,
"Injection, FR",3.82,-2.13,-2.99,0.47,47.25,32.24,39.4,52.61,70.45,,,,,,
"Injection, GB",17.14,11.1,2.31,-5.91,4.69,-14.18,-21.64,7.45,1.14,,,,,,
"Injection, IT",-36.78,-19.6,-16.17,-6.74,26.92,38.96,56.85,65.27,68.66,,,,,,
"Injection, NL",-31.26,-30.58,-25.85,-12.64,21.42,23.81,30.17,27.28,,,,,,,
Inject Total,-22.12,-54.51,-39.86,-46.83,167.58,99.27,147,250.13,281.12,,,,,,
