week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul
"LDZ, BE",16.21,11.41,13.47,17.66,11.97,7.49,9.14,10.33,8.23,7.04,7.19,7.7,7.5,7.5,7.29
"LDZ, GB",97.49,77.96,88.11,103.82,70.31,48.63,59.41,66.12,54.42,47.37,49.26,51.21,50.84,50.31,50.03
"LDZ, NL",25.06,18.08,19.76,28.41,16.67,11.16,13.32,14.95,13.04,11.47,11.33,12.19,11.86,11.86,11.5
"LDZ, FR",33.08,22.73,26.57,34.03,23.83,15.64,18.54,19.11,15.01,10.81,13.61,15.89,14.17,14.5,13.17
"LDZ, IT",42.01,37.64,39.0,44.87,37.81,31.85,30.32,32.25,29.8,25.16,25.07,26.76,25.3,24.91,24.61
"LDZ, DE",74.8,49.89,45.98,71.82,37.47,19.48,25.93,30.93,19.18,14.9,13.43,16.24,15.03,14.4,13.6
"LDZ, AT",22.79,19.41,16.94,20.27,15.82,12.76,12.74,13.36,12.46,12.11,11.94,12.36,12.07,12.3,12.1
"LDZ, ES",6.05,5.72,7.53,8.17,5.57,4.34,4.55,4.39,4.4,4.39,4.3,4.18,4.07,3.96,3.82
LDZ Total,317.49,242.84,257.36,329.05,219.45,151.35,173.95,191.44,156.54,133.25,136.13,146.53,140.84,139.74,136.12
"Ind, BE",10.98,10.53,10.23,9.93,9.88,9.34,9.64,9.36,10.08,9.95,9.74,9.39,9.48,9.55,9.11
"Ind, GB",2.48,2.36,2.5,2.53,2.32,2.41,2.28,2.09,2.61,2.51,2.15,1.98,2.28,2.03,2.17
"Ind, NL",22.58,21.7,22.16,23.52,21.74,19.0,19.84,19.64,19.73,19.68,19.43,19.57,19.15,19.46,19.55
"Ind, AT",13.15,11.33,9.65,9.99,9.37,8.36,7.9,7.85,8.87,9.68,9.81,9.78,9.91,9.62,8.55
"Ind, FR",23.31,21.49,21.96,22.26,20.86,18.88,19.08,19.59,19.95,20.4,20.57,20.32,19.81,19.48,17.88
"Ind, IT",31.31,29.45,30.86,31.87,31.26,29.73,28.18,30.52,31.37,30.32,29.95,31.08,31.14,31.29,29.39
"Ind, ES",39.8,39.29,41.73,41.83,40.21,39.11,39.01,38.62,41.8,40.09,39.88,40.21,40.28,38.95,37.46
"Ind, DE",118.81,102.63,113.82,114.11,104.46,93.85,92.37,98.39,107.92,97.64,98.37,99.65,97.61,96.66,92.75
Industrial Total,262.42,238.78,252.91,256.04,240.1,220.68,218.3,226.06,242.33,230.27,229.9,231.98,229.66,227.04,216.86
"GFP, AT",2.73,1.63,0.65,0.98,0.61,0.39,0.18,0.25,0.35,0.53,0.53,0.5,0.52,0.52,0.52
"GFP, BE",4.26,4.35,9.78,4.97,6.29,6.91,5.36,4.64,8.64,8.08,7.51,6.5,6.8,7.21,8.08
"GFP, ES",18.03,20.1,21.1,19.86,19.87,23.57,20.23,16.9,28.26,29.02,23.34,25.45,28.2,28.53,29.37
"GFP, FR",0.33,0.28,1.62,0.26,0.19,1.21,0.54,0.11,3.87,4.44,3.49,2.38,2.44,2.89,3.51
"GFP, IT",32.35,31.25,47.88,35.66,34.58,41.68,33.49,34.84,57.5,71.73,75.32,71.43,74.32,76.83,76.72
"GFP, NL",11.18,9.72,20.26,11.65,15.18,15.48,11.17,9.03,16.24,5.85,3.78,6.34,7.7,8.97,9.95
"GFP, UK",20.25,18.02,34.31,23.01,24.36,26.93,21.97,21.42,27.77,29.34,30.79,33.86,34.46,36.89,37.28
GFP Total,89.13,85.35,135.6,96.39,101.08,116.17,92.94,87.19,142.63,148.99,144.76,146.46,154.44,161.84,165.43
NO pipeline flow,273.06,264.0,257.97,264.34,230.31,264.96,274.18,274.92,256.01,255.96,281.75,292.02,292.14,292.87,290.2
East pipeline flow,-27.41,-31.92,-33.53,-31.04,-34.47,-37.55,-35.69,-36.23,-43.27,-50.55,-49.34,-49.27,-49.94,-50.51,-50.68
South pipeline flow,94.69,91.83,94.44,90.48,93.3,93.93,80.78,81.39,79.05,77.9,72.81,70.28,69.52,68.93,68.28
Regas/LNG,348.49,349.24,324.87,310.06,284.48,286.61,250.98,269.89,282.01,277.93,269.57,266.51,267.02,267.53,257.66
Local production,113.92,118.56,111.01,108.25,110.44,108.71,109.29,113.22,104.8,96.46,99.62,100.68,100.45,100.43,97.46
"Injection, AT",16.62,29.63,25.82,11.81,16.62,29.64,21.06,21.17,,,,,,,
"Injection, BE",0.21,0.82,-1.16,-1.27,-1.55,1.08,0.11,0.15,,,,,,,
"Injection, DE",26.81,72.44,35.1,15.97,46.28,85.8,73.25,53.36,,,,,,,
"Injection, ES",0.0,7.43,4.91,5.56,8.69,7.28,8.3,7.25,,,,,,,
"Injection, FR",40.84,55.85,33.71,21.59,24.49,43.39,25.59,24.32,,,,,,,
"Injection, GB",-14.47,2.04,-27.68,-13.87,-10.14,2.31,1.63,-10.21,,,,,,,
"Injection, IT",58.96,64.35,53.04,46.95,51.09,54.57,57.09,55.03,,,,,,,
"Injection, NL",28.41,28.52,15.97,16.33,25.98,33.98,49.78,56.39,,,,,,,
Inject Total,157.38,261.08,139.71,103.07,161.46,258.05,236.81,207.46,,,,,,,
