week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug
"LDZ, BE",7.49,9.14,10.31,8.11,6.49,7.49,6.63,6.53,7.66,7.11,7.26,7.49,7.97,9.7,8.54
"LDZ, GB",48.63,59.41,66.12,54.22,47.56,48.37,44.74,46.36,49.09,49.04,50.23,51.2,52.11,54.96,52.87
"LDZ, NL",11.16,13.32,14.95,12.38,9.75,11.79,10.93,10.63,12.85,11.29,11.59,12.01,12.6,14.26,13.53
"LDZ, FR",15.64,18.54,19.1,15.94,13.5,15.02,13.6,12.16,15.87,13.63,13.43,14.43,16.4,18.01,18.36
"LDZ, IT",31.98,30.32,32.32,30.8,29.11,29.08,29.08,28.77,29.02,25.7,24.04,24.53,26.09,29.66,31.0
"LDZ, DE",19.48,26.36,30.93,20.61,13.91,16.97,16.78,15.64,21.89,13.81,13.73,15.47,18.54,26.34,24.3
"LDZ, AT",12.78,12.89,13.46,12.13,12.77,13.5,12.78,12.35,13.02,11.8,11.56,12.03,12.51,14.76,14.19
"LDZ, ES",4.34,4.48,4.35,3.97,3.45,3.35,3.47,3.42,3.48,3.48,3.4,3.35,3.34,3.4,3.72
LDZ Total,151.5,174.46,191.54,158.16,136.54,145.57,138.01,135.86,152.88,135.86,135.24,140.51,149.56,171.09,166.51
"Ind, BE",9.34,9.6,9.36,9.65,8.92,9.39,9.38,8.35,9.04,9.06,9.39,9.73,9.76,9.49,10.22
"Ind, GB",2.41,2.28,2.09,2.09,2.99,2.41,2.3,2.44,2.04,2.19,2.25,2.4,2.08,2.3,2.51
"Ind, NL",19.0,19.84,19.64,18.52,17.81,18.9,18.86,18.47,19.18,19.46,19.25,18.91,19.72,20.52,20.29
"Ind, AT",8.74,8.08,8.08,7.88,8.89,9.38,8.81,8.42,9.46,8.52,8.26,8.47,9.27,9.61,10.58
"Ind, FR",18.88,19.08,19.59,19.28,18.02,19.01,19.25,18.78,19.58,17.76,16.77,16.57,18.04,19.76,20.16
"Ind, IT",29.51,28.18,30.52,29.88,28.79,28.82,29.1,28.28,31.3,29.22,23.1,16.43,19.53,26.94,31.27
"Ind, ES",39.11,39.08,38.66,39.28,38.42,37.07,38.63,38.82,39.79,37.22,35.38,33.23,34.66,37.19,39.39
"Ind, DE",93.9,92.91,97.92,98.04,93.21,91.49,87.4,86.9,95.68,92.43,93.36,93.29,93.86,100.75,100.77
Industrial Total,220.89,219.05,225.86,224.62,217.05,216.47,213.73,210.46,226.07,215.86,207.76,199.03,206.92,226.56,235.19
"GFP, AT",0.42,0.18,0.25,0.36,1.01,1.34,0.31,0.58,0.24,0.6,0.55,0.52,0.52,0.52,1.28
"GFP, BE",7.0,5.35,4.64,9.27,11.7,8.94,7.96,9.36,6.22,8.04,8.93,8.52,8.91,9.06,9.13
"GFP, ES",24.01,20.23,16.9,29.01,35.18,25.86,35.79,40.21,35.53,29.42,28.58,25.36,27.63,28.21,26.77
"GFP, FR",1.35,0.54,0.11,3.76,12.54,6.45,7.12,8.45,4.13,3.17,3.46,2.83,2.33,2.28,2.15
"GFP, IT",41.67,33.49,34.84,56.29,80.67,72.01,73.54,76.93,62.48,70.28,71.92,67.69,66.26,58.03,57.13
"GFP, NL",15.31,11.17,9.03,18.39,18.89,13.97,15.85,15.17,9.66,10.78,9.97,9.99,11.0,11.32,11.11
"GFP, UK",24.91,21.97,21.42,32.65,41.83,28.13,31.95,28.09,23.57,34.22,35.84,35.61,37.34,38.45,38.03
GFP Total,114.67,92.93,87.19,149.73,201.82,156.7,172.52,178.79,141.83,156.51,159.25,150.52,153.99,147.87,145.6
NO pipeline flow,258.69,274.18,274.92,272.59,309.26,309.26,296.21,302.22,301.65,293.78,283.56,286.4,289.69,293.38,212.71
East pipeline flow,-31.78,-35.69,-36.23,-36.65,-34.75,-35.23,-35.09,-30.02,-37.05,-47.02,-49.01,-49.21,-49.34,-49.37,-39.53
South pipeline flow,94.23,80.78,81.39,78.97,73.56,73.17,72.0,68.6,70.33,68.36,67.52,67.41,67.5,67.76,62.02
Regas/LNG,265.54,250.98,269.89,268.63,255.12,216.5,230.26,208.3,180.06,189.67,193.34,204.94,213.5,219.95,246.66
Local production,105.93,109.29,113.18,113.29,110.47,113.2,109.94,114.56,118.4,100.51,91.75,92.37,93.2,94.19,93.11
"Injection, AT",29.64,21.06,24.73,25.74,23.4,19.18,23.58,17.26,,,,,,,
"Injection, BE",1.08,0.11,0.4,-0.44,0.74,1.75,2.25,2.63,,,,,,,
"Injection, DE",85.8,73.28,64.05,62.26,79.6,49.54,44.15,36.1,,,,,,,
"Injection, ES",7.28,8.3,6.57,0.95,0.2,-1.72,-2.8,-3.1,,,,,,,
"Injection, FR",43.39,25.59,31.03,38.42,20.81,17.4,19.5,23.93,,,,,,,
"Injection, GB",2.31,1.63,-7.27,-6.99,6.79,16.72,2.04,14.6,,,,,,,
"Injection, IT",54.57,57.09,60.74,53.75,40.25,50.01,51.8,46.75,,,,,,,
"Injection, NL",33.98,49.91,57.29,32.69,30.62,44.21,51.17,45.08,,,,,,,
Inject Total,258.05,236.97,237.54,206.38,202.41,197.09,191.69,183.25,,,,,,,
