week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sep
"LDZ, BE",9.14,10.31,8.11,6.49,7.49,6.63,6.53,7.68,7.24,7.2,7.61,7.87,8.66,11.14,10.5
"LDZ, GB",59.41,66.12,54.22,47.56,48.37,44.74,46.36,49.07,48.71,49.1,51.4,52.16,57.16,63.36,55.05
"LDZ, NL",13.32,14.95,12.38,9.75,11.79,10.93,10.63,12.86,11.54,11.3,12.19,12.61,13.7,15.29,15.08
"LDZ, FR",18.54,19.1,15.94,13.5,15.02,13.6,12.16,15.92,14.04,13.4,15.01,16.99,17.93,22.86,21.88
"LDZ, IT",30.32,32.32,30.8,29.11,29.08,29.08,28.77,28.99,25.51,23.91,25.81,28.3,29.14,31.3,32.28
"LDZ, DE",26.36,30.93,20.61,13.91,16.97,16.78,15.64,21.97,14.73,12.43,16.29,18.27,21.74,27.33,28.18
"LDZ, AT",12.89,13.46,12.13,12.77,13.5,12.78,12.35,12.99,11.73,11.44,12.26,12.61,13.16,14.91,14.15
"LDZ, ES",4.48,4.35,3.97,3.45,3.35,3.47,3.42,3.48,3.48,3.4,3.35,3.34,3.4,3.72,4.11
LDZ Total,174.46,191.54,158.16,136.54,145.57,138.01,135.86,152.96,136.98,132.18,143.92,152.15,164.89,189.91,181.23
"Ind, BE",9.6,9.36,9.65,8.92,9.39,9.38,8.35,9.04,9.06,9.39,9.73,9.76,9.49,10.22,
"Ind, GB",2.28,2.09,2.09,2.99,2.41,2.3,2.44,2.04,2.18,2.24,2.4,2.08,2.3,2.51,
"Ind, NL",19.84,19.64,18.52,17.81,18.9,18.86,18.47,19.18,19.46,19.25,18.91,19.72,20.52,20.29,
"Ind, AT",8.08,8.08,7.88,8.89,9.38,8.81,8.42,9.46,8.52,8.26,8.47,9.27,9.61,10.58,
"Ind, FR",19.08,19.59,19.28,18.02,19.01,19.25,18.78,19.58,17.76,16.77,16.57,18.04,19.76,20.16,
"Ind, IT",28.18,30.52,29.88,28.79,28.82,29.1,28.28,31.3,29.22,23.1,16.43,19.53,26.94,31.27,
"Ind, ES",39.08,38.66,39.28,38.42,37.07,38.63,38.82,39.79,37.22,35.38,33.23,34.66,37.19,39.39,
"Ind, DE",92.91,97.92,98.04,93.21,91.49,87.3,86.9,95.68,92.42,93.35,93.29,93.86,100.75,100.77,
Industrial Total,219.05,225.86,224.62,217.05,216.47,213.63,210.46,226.07,215.84,207.74,199.03,206.92,226.56,235.19,
"GFP, AT",0.18,0.25,0.36,1.01,1.34,0.31,0.58,0.23,0.49,0.55,0.52,0.52,0.51,1.28,1.92
"GFP, BE",5.35,4.64,9.27,11.7,8.94,7.96,9.36,6.22,5.74,8.9,8.6,8.77,8.89,8.95,9.22
"GFP, ES",20.23,16.9,29.01,35.18,25.86,35.79,40.21,36.3,29.96,28.04,26.32,25.53,27.31,26.84,28.02
"GFP, FR",0.54,0.11,3.76,12.54,6.45,7.12,8.45,4.16,3.13,3.45,2.66,2.16,2.24,2.06,2.36
"GFP, IT",33.49,34.84,56.29,80.67,72.01,73.54,76.93,62.07,71.24,72.68,64.81,59.39,56.1,58.81,65.02
"GFP, NL",11.17,9.03,18.39,18.89,13.97,15.85,15.17,8.88,9.93,10.65,10.17,10.8,11.22,10.77,11.55
"GFP, UK",21.97,21.42,32.65,41.83,28.13,31.95,28.09,23.48,29.1,35.51,34.94,35.71,37.26,37.52,40.49
GFP Total,92.93,87.19,149.73,201.82,156.7,172.52,178.79,141.34,149.59,159.78,148.02,142.88,143.53,146.23,158.58
NO pipeline flow,274.18,274.92,272.59,309.26,309.26,296.21,302.22,291.47,293.14,283.51,286.27,289.48,293.09,212.6,202.38
East pipeline flow,-35.69,-36.23,-36.65,-34.75,-35.23,-35.09,-30.02,-34.9,-46.88,-49.0,-49.19,-49.29,-49.31,-39.51,-37.38
South pipeline flow,80.78,81.39,78.97,73.56,73.17,72.0,68.6,70.76,68.39,67.52,67.42,67.5,67.78,62.02,61.8
Regas/LNG,250.98,269.89,268.63,255.12,216.5,230.26,208.3,179.59,184.7,190.72,203.0,212.01,218.74,246.06,256.94
Local production,109.29,113.18,113.29,110.47,113.2,109.94,114.56,118.4,100.51,91.75,92.37,93.2,94.19,93.11,93.89
"Injection, AT",21.06,24.73,25.74,23.4,19.18,23.58,17.26,6.69,,,,,,,
"Injection, BE",0.11,0.4,-0.44,0.74,1.75,2.25,2.63,1.49,,,,,,,
"Injection, DE",73.28,64.05,62.26,79.6,49.54,44.15,36.1,21.64,,,,,,,
"Injection, ES",8.3,6.57,0.95,0.2,-1.72,-2.8,-3.1,-0.81,,,,,,,
"Injection, FR",25.59,31.03,38.42,20.81,17.4,19.5,23.93,22.34,,,,,,,
"Injection, GB",1.63,-7.27,-6.99,6.79,16.72,2.04,14.6,23.03,,,,,,,
"Injection, IT",57.09,60.74,53.75,40.25,50.01,51.8,46.75,30.82,,,,,,,
"Injection, NL",49.91,57.29,32.69,30.62,44.21,51.17,45.08,45.52,,,,,,,
Inject Total,236.97,237.54,206.38,202.41,197.09,191.69,183.25,150.72,,,,,,,
