week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,09-Mar,16-Mar,23-Mar,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun
"LDZ, BE",26.03,23.09,27.17,24.87,16.31,16.34,16.21,11.46,16.19,19.4,13.44,13.9,12.6,11.67,11.07
"LDZ, GB",157.18,129.66,153.15,128.13,107.5,105.89,97.51,77.98,97.62,114.99,72.97,66.23,61.4,69.39,60.27
"LDZ, NL",42.13,36.35,41.91,37.32,26.46,23.99,25.06,18.08,23.17,28.19,16.59,17.87,16.33,15.57,15.39
"LDZ, FR",72.28,65.65,77.32,64.99,36.7,39.99,33.08,22.74,34.71,39.87,27.94,26.8,22.79,22.83,19.23
"LDZ, IT",93.91,95.38,100.25,86.48,49.44,47.53,45.29,37.79,41.28,38.07,35.61,35.5,35.23,34.01,32.03
"LDZ, DE",99.77,112.81,117.51,111.72,80.6,65.98,74.79,49.89,51.5,54.26,34.77,38.4,31.29,27.51,27.2
"LDZ, AT",30.16,33.37,34.38,32.5,24.52,24.72,22.7,19.11,15.76,16.64,16.06,16.29,16.29,14.51,14.21
"LDZ, ES",21.11,18.82,20.27,16.88,16.63,17.41,15.75,15.75,16.5,15.87,14.92,14.03,13.65,13.65,13.65
LDZ Total,542.57,515.13,571.96,502.89,358.16,341.85,330.39,252.8,296.73,327.29,232.3,229.02,209.58,209.14,193.05
"Ind, BE",10.84,10.69,10.86,10.73,10.69,10.38,10.98,10.53,10.48,10.64,10.08,9.86,9.82,9.88,10.04
"Ind, GB",2.48,2.11,2.28,2.67,2.09,2.7,2.48,2.36,2.32,2.05,2.15,2.12,1.95,1.9,2.49
"Ind, NL",20.23,20.13,20.91,22.35,20.81,21.11,22.58,21.7,21.61,20.57,21.02,22.43,20.73,20.53,20.11
"Ind, AT",15.36,16.73,16.05,16.14,13.55,13.95,12.66,10.88,10.72,10.74,10.56,10.14,10.38,9.95,9.61
"Ind, FR",26.85,25.59,25.19,24.35,23.48,23.84,23.3,21.48,22.0,21.72,21.87,21.43,20.48,20.87,20.39
"Ind, IT",33.64,33.93,33.6,30.51,30.13,32.38,31.54,29.75,32.95,32.39,32.43,31.71,30.8,31.45,30.74
"Ind, ES",39.79,35.69,35.37,30.56,29.71,31.57,30.1,29.26,38.24,39.97,39.87,38.48,39.22,39.08,39.03
"Ind, DE",129.59,135.98,133.12,127.69,116.25,125.91,118.26,101.99,112.54,106.42,106.92,102.96,104.12,100.59,99.02
Industrial Total,278.78,280.85,277.38,265.0,246.71,261.84,251.9,227.95,250.86,244.5,244.9,239.13,237.5,234.25,231.43
"GFP, AT",4.5,5.14,4.72,4.85,3.75,3.95,2.7,1.63,0.62,1.08,1.05,1.07,0.55,0.56,0.56
"GFP, BE",4.08,3.58,4.21,6.13,4.17,9.09,4.26,4.35,10.57,7.85,6.11,4.9,5.92,7.28,6.84
"GFP, ES",26.17,20.64,19.93,18.52,19.95,22.23,18.03,20.1,19.35,14.84,14.89,16.43,19.73,20.16,21.12
"GFP, FR",2.02,0.71,2.42,4.74,0.49,3.95,0.33,0.28,2.29,2.09,1.87,1.63,2.4,2.56,2.49
"GFP, IT",58.71,50.65,39.8,48.03,39.4,45.19,35.38,33.85,47.46,48.05,48.06,49.29,50.6,54.88,55.31
"GFP, NL",12.63,9.32,6.92,13.44,9.78,18.34,11.18,9.72,16.59,2.59,0.88,0.79,1.15,1.02,1.01
"GFP, UK",28.87,34.89,22.46,24.76,19.57,27.64,20.25,18.02,37.47,32.5,28.91,23.16,31.66,33.89,32.5
GFP Total,136.98,124.93,100.46,120.47,97.11,130.39,92.13,87.95,134.35,109.0,101.77,97.27,112.01,120.35,119.83
NO pipeline flow,305.69,291.96,296.64,306.1,298.21,286.57,262.35,264.0,253.66,260.99,257.2,253.79,259.77,257.28,255.31
East pipeline flow,-31.22,-30.43,-31.6,-31.74,-28.15,-29.0,-29.19,-31.92,-42.78,-47.79,-48.89,-49.95,-51.8,-52.76,-53.66
South pipeline flow,99.84,91.18,100.24,95.4,89.96,90.97,92.37,91.83,85.54,82.31,80.51,78.76,81.36,79.76,78.27
Regas/LNG,382.3,366.44,391.04,368.2,344.58,346.72,347.18,349.24,293.06,319.93,318.85,317.84,290.43,289.6,288.88
Local production,131.52,123.78,121.61,120.22,120.12,116.11,115.57,121.42,111.09,108.1,106.23,104.51,99.49,98.11,96.96
"Injection, AT",-5.48,-6.65,-9.86,-3.38,15.58,6.51,16.62,23.16,,,,,,,
"Injection, BE",-1.0,-1.71,-1.81,-0.42,-0.85,-0.44,0.21,0.64,,,,,,,
"Injection, DE",17.76,4.05,2.71,-0.46,27.13,13.83,26.81,58.96,,,,,,,
"Injection, ES",-0.18,-0.92,5.48,11.25,12.32,7.75,0.0,4.86,,,,,,,
"Injection, FR",0.5,0.88,-3.36,8.65,48.89,33.8,40.84,49.27,,,,,,,
"Injection, GB",14.63,10.34,-0.0,-4.83,0.54,-15.34,-14.47,6.52,,,,,,,
"Injection, IT",-35.16,-17.88,-11.84,-3.33,32.72,44.87,58.61,60.59,,,,,,,
"Injection, NL",-34.01,-27.78,-22.68,0.09,20.42,26.4,28.41,26.48,,,,,,,
Inject Total,-42.94,-39.67,-41.36,7.57,156.75,117.38,157.03,230.48,,,,,,,
