week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug
"LDZ, BE",11.41,13.47,17.66,11.97,7.49,9.13,10.31,8.12,6.79,7.8,8.16,7.7,7.4,6.89,7.41
"LDZ, GB",77.96,88.11,103.82,70.31,48.63,59.41,66.12,54.19,46.56,50.41,49.43,50.2,49.64,46.67,50.39
"LDZ, NL",18.08,19.76,28.41,16.67,11.16,13.32,14.95,12.38,10.28,12.6,13.36,12.37,11.76,10.79,11.79
"LDZ, FR",22.73,26.57,34.03,23.83,15.64,18.54,19.11,15.94,12.15,15.44,15.76,15.23,13.64,11.61,13.89
"LDZ, IT",37.64,39.0,44.87,37.81,31.85,30.32,32.25,30.8,28.0,27.21,29.5,27.49,26.09,24.6,25.16
"LDZ, DE",49.89,45.98,71.82,37.47,19.48,25.93,30.93,20.61,11.11,18.71,23.7,17.76,16.11,11.93,15.57
"LDZ, AT",19.45,16.94,20.49,15.98,12.78,12.74,13.36,12.08,12.31,12.63,13.71,12.69,12.36,11.83,12.11
"LDZ, ES",5.72,7.53,8.17,5.57,4.34,4.55,4.39,4.23,4.22,4.32,4.24,4.15,4.02,3.85,3.7
LDZ Total,242.88,257.36,329.27,219.61,151.37,173.94,191.42,158.35,131.42,149.12,157.86,147.59,141.02,128.17,140.02
"Ind, BE",10.53,10.23,9.93,9.88,9.34,9.6,9.36,9.65,9.7,9.73,9.38,9.46,9.54,9.1,9.42
"Ind, GB",2.36,2.5,2.53,2.32,2.41,2.28,2.09,2.09,3.03,2.15,1.99,2.28,2.04,2.18,2.24
"Ind, NL",21.7,22.16,23.52,21.74,19.0,19.84,19.64,18.52,18.94,19.41,19.55,19.13,19.44,19.53,19.33
"Ind, AT",11.49,9.92,10.29,9.64,8.74,7.9,7.85,7.6,9.7,9.82,9.79,9.92,9.63,8.56,8.3
"Ind, FR",21.49,21.96,22.26,20.86,18.88,19.08,19.59,19.28,19.97,20.57,20.33,19.82,19.49,17.88,16.9
"Ind, IT",29.45,30.86,31.87,31.26,29.73,28.18,30.52,29.88,30.83,29.94,31.06,31.13,31.27,29.37,23.26
"Ind, ES",39.29,41.73,41.83,40.21,39.11,39.01,38.62,39.02,40.99,39.84,40.17,40.24,38.9,37.42,35.59
"Ind, DE",102.63,113.82,114.11,104.46,93.85,92.37,98.4,99.1,100.79,98.45,99.73,97.69,96.74,92.83,93.76
Industrial Total,238.94,253.18,256.34,240.37,221.06,218.26,226.07,225.14,233.95,229.91,232.0,229.67,227.05,216.87,208.8
"GFP, AT",1.63,0.65,0.99,0.61,0.39,0.18,0.25,0.36,1.03,0.48,0.47,0.5,0.51,0.52,0.43
"GFP, BE",4.35,9.71,4.97,6.29,6.91,5.36,4.64,9.27,12.98,8.29,7.02,7.52,7.57,8.89,8.35
"GFP, ES",20.1,21.1,19.86,19.87,23.57,20.23,16.9,29.01,29.65,20.06,24.41,27.17,28.69,30.33,27.31
"GFP, FR",0.28,1.62,0.26,0.19,1.21,0.54,0.11,3.76,9.82,2.84,2.27,2.32,2.96,4.05,3.57
"GFP, IT",31.25,47.88,35.66,34.58,41.68,33.49,34.84,56.29,78.82,70.2,63.22,67.39,71.9,75.84,69.52
"GFP, NL",9.72,20.26,11.65,15.18,15.48,11.17,9.03,18.39,17.19,7.93,7.59,8.97,9.26,10.59,9.85
"GFP, UK",18.02,34.31,23.01,24.36,26.93,21.97,21.42,32.65,40.97,30.91,31.32,35.38,37.29,37.29,33.98
GFP Total,85.35,135.53,96.4,101.08,116.17,92.94,87.19,149.73,190.46,140.71,136.3,149.25,158.18,167.51,153.01
NO pipeline flow,255.96,257.97,264.34,230.31,264.96,274.18,274.92,272.59,273.35,282.74,292.42,292.72,293.61,290.93,282.56
East pipeline flow,-34.91,-33.53,-31.04,-34.47,-37.55,-35.69,-36.23,-36.65,-41.12,-48.88,-49.1,-49.67,-50.14,-50.32,-50.11
South pipeline flow,88.45,94.44,90.48,93.3,93.93,80.78,81.39,78.97,75.06,72.73,70.25,69.47,68.86,68.22,67.44
Regas/LNG,344.52,324.87,310.06,284.48,286.61,250.98,269.89,268.63,261.1,258.07,258.58,261.17,263.09,254.35,229.96
Local production,116.58,111.01,108.25,110.44,108.71,109.29,113.22,113.37,101.31,100.01,100.95,100.75,100.78,97.8,90.2
"Injection, AT",29.63,25.82,11.81,16.62,29.64,21.06,24.73,21.18,,,,,,,
"Injection, BE",0.82,-1.16,-1.27,-1.55,1.08,0.11,0.4,-1.12,,,,,,,
"Injection, DE",72.44,35.1,15.97,46.28,85.8,73.25,64.01,54.41,,,,,,,
"Injection, ES",7.43,4.91,5.56,8.69,7.28,8.3,6.57,0.66,,,,,,,
"Injection, FR",55.85,33.71,21.59,24.49,43.39,25.59,31.03,41.91,,,,,,,
"Injection, GB",2.04,-27.68,-13.87,-10.14,2.31,1.63,-7.27,-15.42,,,,,,,
"Injection, IT",64.35,53.04,46.95,51.09,54.57,57.09,60.74,51.65,,,,,,,
"Injection, NL",28.52,15.97,16.33,25.98,33.98,49.78,56.47,35.84,,,,,,,
Inject Total,261.08,139.71,103.07,161.46,258.05,236.81,236.68,189.11,,,,,,,
