week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug
"LDZ, BE",17.82,11.97,7.49,9.14,10.31,8.11,6.49,7.49,6.94,7.07,8.19,7.44,7.4,7.83,7.97
"LDZ, GB",103.22,70.31,48.63,59.41,66.12,54.22,47.56,48.37,45.75,48.17,51.04,49.41,48.57,50.36,51.47
"LDZ, NL",28.67,16.67,11.16,13.32,14.95,12.38,9.75,11.79,11.49,11.01,12.74,11.87,11.73,12.4,12.46
"LDZ, FR",34.07,23.83,15.64,18.54,19.09,15.93,13.5,15.02,13.92,12.44,15.93,14.47,14.66,16.4,17.47
"LDZ, IT",45.01,37.81,31.85,30.32,32.32,30.8,29.11,29.08,29.71,24.97,25.4,26.23,27.39,28.44,28.51
"LDZ, DE",75.1,37.47,19.48,26.4,30.93,20.61,13.91,16.97,16.76,13.53,18.24,15.39,15.01,17.11,18.64
"LDZ, AT",20.67,15.98,12.78,12.74,13.36,12.08,12.68,13.42,13.06,12.2,12.77,12.63,12.56,12.81,12.94
"LDZ, ES",8.2,5.57,4.34,4.55,4.39,4.23,3.98,3.72,3.89,3.97,3.91,3.78,3.63,3.57,3.55
LDZ Total,332.76,219.61,151.37,174.42,191.47,158.36,136.98,145.86,141.52,133.36,148.22,141.22,140.95,148.92,153.01
"Ind, BE",9.94,9.88,9.34,9.6,9.36,9.65,8.92,9.39,9.43,9.45,9.53,9.08,9.41,9.75,9.78
"Ind, GB",2.54,2.32,2.41,2.28,2.09,2.09,2.99,2.41,2.27,2.28,2.03,2.18,2.24,2.39,2.07
"Ind, NL",23.5,21.74,19.0,19.84,19.64,18.52,17.81,18.9,19.04,19.07,19.38,19.47,19.26,18.93,19.73
"Ind, AT",9.91,9.64,8.74,7.9,7.85,7.6,8.64,9.06,9.12,9.86,9.58,8.51,8.24,8.46,9.25
"Ind, FR",22.23,20.86,18.88,19.08,19.59,19.28,18.02,19.01,19.54,19.69,19.36,17.75,16.76,16.56,18.03
"Ind, IT",31.38,31.26,29.73,28.18,30.52,29.88,28.79,28.82,30.07,31.05,31.2,29.3,23.18,16.5,19.61
"Ind, ES",41.06,40.21,39.11,39.01,38.62,39.02,37.89,36.7,39.2,40.06,38.73,37.25,35.41,33.26,34.69
"Ind, DE",110.83,104.48,93.89,92.35,97.18,98.71,92.06,91.29,90.94,97.17,96.21,92.31,93.24,93.18,93.75
Industrial Total,251.39,240.39,221.1,218.24,224.85,224.75,215.12,215.58,219.61,228.63,226.02,215.85,207.74,199.03,206.91
"GFP, AT",0.91,0.61,0.39,0.18,0.25,0.36,1.01,1.34,0.31,0.56,0.53,0.53,0.43,0.43,0.45
"GFP, BE",5.34,6.29,6.91,5.35,4.64,9.27,11.7,8.94,7.75,6.54,7.67,8.42,8.7,8.57,9.07
"GFP, ES",19.17,19.87,23.57,20.23,16.9,29.01,35.18,25.86,34.53,30.04,29.38,27.64,25.47,22.72,24.57
"GFP, FR",0.14,0.19,1.21,0.54,0.11,3.76,12.54,6.45,6.97,3.86,2.5,2.85,2.66,2.46,2.31
"GFP, IT",35.13,34.58,41.68,33.49,34.84,56.29,80.67,72.01,74.43,75.46,75.18,72.65,62.87,55.77,57.46
"GFP, NL",12.16,15.18,15.48,11.17,9.03,18.39,18.89,13.97,13.96,5.43,9.16,10.14,10.4,10.69,12.01
"GFP, UK",24.71,24.36,26.93,21.97,21.42,32.65,41.83,28.13,31.47,29.35,37.9,37.08,35.42,33.9,36.29
GFP Total,97.56,101.08,116.17,92.93,87.19,149.73,201.82,156.7,169.42,151.24,162.32,159.31,145.95,134.54,142.16
NO pipeline flow,259.14,230.3,264.96,274.18,274.92,272.59,309.26,309.26,295.02,294.64,295.91,292.95,283.36,286.17,289.44
East pipeline flow,-33.74,-34.47,-37.55,-35.69,-36.23,-36.65,-34.75,-35.23,-39.52,-47.91,-48.45,-48.96,-49.47,-49.74,-49.92
South pipeline flow,84.16,93.3,93.93,80.78,81.39,78.97,73.56,73.17,71.48,69.68,69.0,68.31,67.52,67.4,67.48
Regas/LNG,292.21,284.48,286.61,250.98,269.89,268.63,255.12,216.5,230.37,231.27,240.58,237.97,219.35,223.6,227.09
Local production,114.98,110.44,108.71,109.29,113.22,113.37,110.23,113.01,110.04,102.41,102.3,99.12,91.22,91.76,92.49
"Injection, AT",11.81,16.62,29.64,21.06,24.73,25.74,23.4,19.18,,,,,,,
"Injection, BE",-1.27,-1.55,1.08,0.11,0.4,-0.44,0.74,1.75,,,,,,,
"Injection, DE",15.97,46.28,85.8,73.28,64.05,62.26,79.76,49.54,,,,,,,
"Injection, ES",5.56,8.69,7.28,8.3,6.57,0.95,0.2,-1.72,,,,,,,
"Injection, FR",21.59,24.49,43.39,25.59,31.03,38.42,20.81,17.4,,,,,,,
"Injection, GB",-13.87,-10.14,2.31,1.63,-7.27,-6.99,6.79,16.72,,,,,,,
"Injection, IT",46.95,51.09,54.57,57.09,60.74,53.75,40.25,50.01,,,,,,,
"Injection, NL",16.33,25.98,33.98,49.91,57.29,32.69,30.62,44.21,,,,,,,
Inject Total,103.07,161.46,258.05,236.97,237.54,206.38,202.57,197.09,,,,,,,
