week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul
"LDZ, BE",16.31,16.34,16.21,11.43,13.52,17.67,12.0,7.52,10.29,8.8,7.69,7.49,7.69,7.73,7.88
"LDZ, GB",107.41,105.86,97.49,77.96,88.11,103.82,70.31,48.92,63.53,53.43,51.71,50.66,50.39,50.96,50.6
"LDZ, NL",26.46,23.99,25.06,18.08,19.76,28.41,16.67,11.51,14.73,14.19,12.66,12.2,12.47,12.47,12.7
"LDZ, FR",36.72,39.98,33.08,22.77,26.6,34.0,23.79,16.22,21.16,17.84,15.49,15.49,15.66,16.07,15.82
"LDZ, IT",49.44,47.53,45.29,37.79,39.0,44.87,37.81,32.89,31.79,30.8,29.99,28.27,29.06,28.27,27.12
"LDZ, DE",80.59,65.97,74.79,49.89,45.98,71.81,37.46,19.44,22.94,20.99,17.59,17.17,17.56,17.44,19.18
"LDZ, AT",24.52,24.72,22.7,19.11,16.94,20.27,15.82,12.96,13.7,13.3,12.83,12.79,12.89,12.64,12.88
"LDZ, ES",8.3,8.77,6.05,5.5,6.29,6.53,5.9,5.45,5.98,5.92,5.75,5.47,5.2,5.01,5.0
LDZ Total,349.75,333.16,320.67,242.53,256.2,327.38,219.76,154.91,184.12,165.27,153.71,149.54,150.92,150.59,151.18
"Ind, BE",10.69,10.38,10.98,10.53,10.23,9.84,9.9,9.47,9.81,9.86,10.02,9.97,9.77,9.41,9.3
"Ind, GB",2.09,2.7,2.48,2.36,2.5,2.53,2.32,2.42,1.96,1.9,2.49,2.48,2.13,1.96,2.0
"Ind, NL",20.81,21.11,22.58,21.7,22.16,23.52,21.74,19.46,20.81,20.62,20.2,19.7,19.46,19.6,19.15
"Ind, AT",14.38,14.37,13.15,11.33,9.65,9.99,9.37,8.76,10.39,9.96,9.62,9.69,9.81,9.78,9.6
"Ind, FR",23.48,23.84,23.31,21.49,21.96,22.26,20.86,19.19,20.45,20.85,20.36,20.39,20.56,20.31,19.52
"Ind, IT",30.13,32.38,31.54,29.75,30.86,31.87,31.26,30.53,30.75,31.39,30.68,30.39,30.02,31.15,30.08
"Ind, ES",38.04,40.21,39.8,39.52,42.97,43.47,39.89,38.64,40.62,40.47,40.42,40.19,39.99,40.32,38.76
"Ind, DE",117.27,126.62,118.99,102.65,109.08,112.79,103.94,94.95,104.21,100.71,99.15,96.89,97.62,98.9,93.0
Industrial Total,256.89,271.61,262.83,239.33,249.41,256.27,239.28,223.42,239.0,235.76,232.94,229.7,229.36,231.43,221.41
"GFP, AT",3.75,3.95,2.7,1.63,0.65,0.98,0.61,0.39,0.49,0.53,0.54,0.54,0.52,0.54,0.65
"GFP, BE",4.17,9.09,4.26,4.35,9.78,4.97,6.29,6.91,5.96,7.13,6.89,7.62,7.82,7.5,8.43
"GFP, ES",19.95,22.23,18.03,20.1,21.1,19.86,19.87,23.86,17.11,19.68,23.29,21.63,23.88,27.02,30.08
"GFP, FR",0.49,3.95,0.33,0.28,1.62,0.26,0.19,1.34,2.08,2.4,2.54,2.38,2.32,2.3,2.24
"GFP, IT",39.4,45.19,35.38,33.85,47.88,35.66,34.58,41.59,50.76,54.39,56.84,60.98,61.05,63.98,73.03
"GFP, NL",9.78,18.34,11.18,9.72,20.26,11.65,15.18,15.48,7.39,3.83,1.38,1.06,1.57,2.34,2.4
"GFP, UK",19.57,27.64,20.25,18.02,34.31,23.01,24.36,26.93,28.55,30.81,32.08,32.43,35.51,37.09,39.74
GFP Total,97.11,130.39,92.13,87.95,135.6,96.39,101.08,116.5,112.34,118.77,123.56,126.64,132.67,140.77,156.57
NO pipeline flow,298.21,286.55,262.35,264.0,257.97,264.34,230.31,263.98,259.69,257.15,255.14,253.68,280.45,291.23,291.41
East pipeline flow,-28.15,-29.0,-29.19,-31.92,-33.52,-31.04,-34.47,-40.02,-51.03,-51.91,-52.74,-53.49,-50.9,-50.19,-50.27
South pipeline flow,89.96,90.97,92.37,91.83,94.43,90.48,93.3,91.83,81.91,80.44,79.08,77.83,72.8,70.27,69.8
Regas/LNG,344.58,346.72,347.18,349.24,324.87,310.06,284.48,286.54,241.43,284.16,283.47,282.93,272.72,268.56,271.81
Local production,116.9,115.3,112.79,118.53,110.44,107.5,110.3,107.49,97.41,96.19,95.16,94.34,98.16,99.55,99.32
"Injection, AT",15.58,6.51,16.62,29.63,25.82,11.81,16.62,28.48,,,,,,,
"Injection, BE",-0.85,-0.44,0.21,0.82,-1.16,-1.27,-1.55,1.68,,,,,,,
"Injection, DE",27.13,13.83,26.81,72.44,35.1,15.97,46.28,97.33,,,,,,,
"Injection, ES",12.32,7.75,0.0,7.43,4.91,5.56,8.69,8.84,,,,,,,
"Injection, FR",48.89,33.8,40.84,55.85,33.71,21.59,24.49,38.03,,,,,,,
"Injection, GB",0.54,-15.34,-14.47,2.04,-27.68,-13.87,-10.14,5.88,,,,,,,
"Injection, IT",32.72,44.87,58.61,64.34,53.04,46.95,51.09,54.65,,,,,,,
"Injection, NL",20.42,26.4,28.41,28.52,15.97,16.33,25.98,28.99,,,,,,,
Inject Total,156.75,117.38,157.03,261.07,139.71,103.07,161.46,263.88,,,,,,,
